Motion Through Fluids Experiment Tue, Feb 28, 2023 3:40 PM
Time(sec)	Position(mm)
0.031	0.000
0.098	0.000
0.165	0.000
0.232	0.000
0.299	0.000
0.366	0.000
0.433	0.000
0.500	0.000
0.567	0.000
0.635	0.000
0.701	0.000
0.769	0.000
0.835	0.000
0.902	0.000
0.969	0.000
1.036	0.000
1.104	0.000
1.170	0.000
1.237	0.000
1.304	0.000
1.371	0.000
1.438	0.000
1.505	0.000
1.572	0.675
1.639	1.768
1.706	2.315
1.773	3.409
1.840	3.955
1.907	5.049
1.974	5.595
2.041	6.689
2.108	7.236
2.175	8.329
2.242	8.876
2.309	9.969
2.376	10.516
2.443	11.610
2.510	12.156
2.577	13.250
2.644	14.343
2.711	14.890
2.778	15.984
2.845	16.530
2.912	17.624
2.979	18.171
3.046	19.264
3.113	19.811
3.180	20.904
3.247	21.451
3.314	22.545
3.381	23.638
3.448	24.185
3.515	25.278
3.582	25.825
3.649	26.918
3.716	27.465
3.783	28.559
3.850	29.652
3.917	30.199
3.984	31.292
4.051	31.839
4.118	32.933
4.185	33.479
4.252	34.573
4.319	35.666
4.386	36.213
4.453	37.307
4.520	37.853
4.587	38.947
4.654	39.494
4.721	40.587
4.788	41.134
4.855	42.227
4.922	43.321
4.989	43.868
5.056	44.961
5.124	45.508
5.190	46.601
5.257	47.148
5.324	48.241
5.391	48.788
5.458	49.882
5.525	50.428
5.592	51.522
5.659	52.069
5.726	53.162
5.793	54.256
5.860	54.802
5.927	55.896
5.994	56.443
6.061	57.536
6.128	58.083
6.195	59.176
6.262	59.723
6.329	60.817
6.396	61.910
6.463	62.457
6.530	63.550
6.597	64.097
6.664	65.191
6.731	66.284
6.798	66.831
6.865	67.378
6.932	68.471
6.999	69.564
7.066	70.111
7.133	71.205
7.200	71.751
7.267	72.845
7.334	73.938
7.401	74.485
7.468	75.579
7.535	76.125
7.602	77.219
7.669	77.766
7.736	78.859
7.803	79.406
7.870	80.499
7.937	81.046
8.004	82.140
8.071	83.233
8.138	83.780
8.205	84.873
8.272	85.420
8.339	86.514
8.406	87.060
8.473	87.607
8.540	88.701
8.607	89.794
8.674	90.341
8.741	91.434
8.808	91.981
8.875	93.074
8.942	93.621
9.009	94.715
9.076	95.261
9.143	96.355
9.211	97.448
9.277	97.995
9.344	99.089
9.411	99.635
9.478	100.729
9.545	101.822
9.612	102.369
9.679	103.463
9.746	104.009
9.813	105.103
9.880	105.650
9.947	106.743
10.014	107.290
10.081	108.383
10.148	109.477
10.215	110.024
10.282	111.117
10.349	111.664
10.416	112.757
10.483	113.304
10.550	114.397
10.617	114.944
10.684	116.038
10.751	116.584
10.818	117.678
10.885	118.771
10.952	119.318
11.019	120.412
11.086	120.958
11.153	121.505
11.220	122.599
11.287	123.692
11.354	124.239
11.421	125.332
11.488	125.879
11.555	126.973
11.622	127.519
11.689	128.613
11.756	129.160
11.823	130.253
11.890	131.347
11.957	131.893
12.024	132.987
12.091	133.533
12.158	134.627
12.225	135.174
12.293	136.267
12.359	137.361
12.426	137.907
12.493	139.001
12.560	139.548
12.627	140.641
12.694	141.188
12.761	142.281
12.828	142.828
12.895	143.922
12.962	144.468
13.029	145.562
13.096	146.655
13.163	147.202
13.230	148.296
13.297	148.842
13.364	149.936
13.431	150.483
13.498	151.576
13.565	152.123
13.632	153.216
13.699	153.763
13.766	154.856
13.834	155.403
13.900	156.497
13.967	157.043
14.034	158.137
14.101	158.684
14.168	159.777
14.235	160.871
14.302	161.417
14.369	162.511
14.436	163.058
14.503	164.151
14.570	164.698
14.637	165.791
14.704	166.338
14.771	167.432
14.838	167.978
14.905	169.072
14.972	169.619
15.039	170.712
15.106	171.806
15.173	172.352
15.240	173.446
15.307	173.992
15.374	175.086
15.441	175.633
15.508	176.726
15.575	177.820
15.642	178.366
15.709	179.460
15.776	180.007
15.843	181.100
15.910	181.647
15.979	182.740
16.044	183.287
16.111	184.381
16.178	184.927
16.245	186.021
16.312	186.568
16.379	187.661
16.446	188.208
16.514	189.301
16.580	189.848
16.647	190.942
16.714	191.488
16.781	192.582
16.849	193.129
16.915	194.222
16.982	194.769
17.049	195.862
17.116	196.409
17.183	197.502
17.250	198.049
17.317	199.143
17.384	200.236
17.451	200.783
17.518	201.876
17.585	202.423
17.652	203.517
17.719	204.063
17.786	205.157
17.853	205.704
17.920	206.797
17.987	207.891
18.054	208.437
18.121	209.531
18.188	210.078
18.255	211.171
18.322	211.718
18.389	212.811
18.456	213.358
18.523	214.452
18.590	214.998
18.657	216.092
18.725	216.638
18.791	217.732
18.858	218.279
18.925	219.372
18.994	220.466
19.059	221.012
19.126	221.559
19.193	222.653
19.260	223.199
19.327	224.293
19.394	224.840
19.461	225.933
19.529	226.480
19.595	227.573
19.662	228.120
19.729	229.214
19.796	229.760
19.863	230.854
19.930	231.401
19.997	232.494
20.064	233.041
20.131	234.134
20.198	234.681
20.265	235.775
20.332	236.868
20.399	237.415
20.466	237.962
20.533	239.055
20.600	239.602
20.667	240.695
20.735	241.789
20.801	242.335
20.869	243.429
20.935	243.976
21.002	245.069
21.069	245.616
21.136	246.163
21.203	247.256
21.270	247.803
21.337	248.896
21.404	249.443
21.471	249.990
21.538	251.083
21.605	251.630
21.672	252.177
21.739	253.270
21.806	253.817
21.873	254.364
21.940	254.911
22.007	0.000
22.074	0.000
22.141	0.000
22.208	0.000
22.275	0.000
22.342	0.000
22.409	0.000
22.476	0.000
22.543	0.000
22.610	0.000
22.677	0.000
22.744	0.000
22.811	0.000
22.878	0.000
22.945	0.000
23.012	0.000
23.079	0.000
23.146	0.000
