Motion Through Fluids Experiment Thu, Mar 02, 2023 1:34 PM
Time(sec)	Position(mm)
0.050	0.000
0.100	0.000
0.150	0.000
0.200	0.000
0.250	0.000
0.300	0.000
0.350	0.000
0.400	0.000
0.450	0.000
0.500	0.675
0.550	1.222
0.600	2.315
0.650	3.955
0.700	5.049
0.750	6.689
0.800	7.782
0.850	8.876
0.900	10.516
0.950	11.610
1.000	13.250
1.050	14.343
1.100	15.984
1.150	17.077
1.200	18.717
1.250	19.811
1.300	20.904
1.350	22.545
1.400	23.638
1.450	25.278
1.500	26.372
1.550	28.012
1.600	29.105
1.650	30.199
1.700	31.292
1.750	33.479
1.800	34.573
1.850	35.666
1.900	37.307
1.950	38.400
2.000	40.040
2.050	41.134
2.100	42.774
2.150	43.868
2.200	44.961
2.250	46.055
2.300	47.695
2.350	49.335
2.400	50.428
2.450	51.522
2.500	53.162
2.550	54.802
2.600	55.896
2.650	57.536
2.700	58.630
2.750	60.270
2.800	61.363
2.850	62.457
2.900	64.097
2.950	65.191
3.000	66.831
3.050	67.924
3.100	69.018
3.150	70.658
3.200	72.298
3.250	73.392
3.300	74.485
3.350	76.125
3.400	77.219
3.450	78.859
3.500	79.953
3.550	81.593
3.600	82.686
3.650	84.327
3.700	85.420
3.750	87.060
3.800	88.154
3.850	89.794
3.900	90.887
3.950	92.528
4.000	93.621
4.050	94.715
4.100	95.808
4.150	97.448
4.200	99.089
4.251	100.182
4.300	101.822
4.350	102.916
4.400	104.556
4.450	105.650
4.500	107.290
4.550	108.383
4.600	110.024
4.650	111.117
4.700	112.210
4.751	113.851
4.800	114.944
4.850	116.584
4.900	117.678
5.050	121.505
5.100	123.145
5.150	124.239
5.200	125.332
5.250	126.973
5.301	128.066
5.350	129.706
5.400	131.347
5.450	132.987
5.500	134.080
5.550	135.174
5.600	136.267
5.650	137.907
5.700	139.001
5.750	140.641
5.800	141.735
5.850	143.375
5.900	144.468
5.950	145.562
6.000	147.202
6.050	148.296
6.100	149.936
6.150	151.029
6.200	152.670
6.250	153.763
6.300	155.403
6.350	156.497
6.400	157.590
6.450	159.230
6.500	160.871
6.550	161.964
6.600	163.604
6.650	164.151
6.700	166.338
6.750	167.432
6.800	168.525
6.850	170.165
6.900	171.259
6.950	172.352
7.000	173.992
7.050	175.633
7.100	176.726
7.150	177.820
7.200	179.460
7.251	180.553
7.300	182.194
7.350	183.287
7.400	184.381
7.450	186.021
7.500	187.114
7.550	188.755
7.600	189.848
7.650	190.942
7.700	192.582
7.750	194.222
7.800	194.222
7.850	193.675
7.900	198.049
7.950	199.689
8.000	200.236
8.050	202.423
8.100	203.517
8.350	210.078
8.400	211.171
8.450	212.811
8.500	213.905
8.550	214.998
8.600	216.638
8.650	217.732
8.700	219.372
8.750	220.466
8.800	221.559
8.850	223.199
8.900	224.293
8.950	225.933
9.000	227.573
9.050	228.120
9.100	229.760
9.150	231.401
9.200	232.494
9.250	233.588
9.300	235.228
9.350	236.321
9.400	237.415
9.450	238.508
9.500	240.148
9.550	241.242
9.600	242.882
9.650	243.976
9.700	245.616
9.750	246.709
9.800	247.803
9.850	249.443
9.900	250.537
9.950	251.630
10.000	252.724
10.050	253.817
10.100	254.911
10.150	254.911
10.200	0.000
10.250	0.000
10.300	0.000
10.350	0.000
10.400	0.000
10.450	0.000
10.500	0.000
10.550	0.000
10.600	0.000
10.650	0.000
10.700	0.000
10.750	0.000
10.800	0.000
10.850	0.000
10.900	0.000
10.950	0.000
11.000	0.000
11.050	0.000
11.100	0.000
11.150	0.000
