Motion Through Fluids Experiment Thu, Mar 02, 2023 2:08 PM
Time(sec)	Position(mm)
0.046	0.000
0.246	0.000
0.446	0.000
0.646	0.000
0.846	0.000
1.046	0.000
1.246	0.000
1.446	0.000
1.646	0.000
1.846	0.000
2.046	0.000
2.246	0.000
2.446	0.000
2.646	0.000
2.846	0.000
3.046	0.000
3.246	0.000
3.446	0.000
3.646	0.000
3.846	0.000
4.046	0.000
4.246	0.000
4.446	0.000
4.647	0.000
4.846	0.000
5.046	0.000
5.246	0.000
5.446	0.000
5.646	0.675
5.846	1.222
6.046	1.768
6.246	2.315
6.446	2.862
6.646	3.955
6.846	4.502
7.046	5.049
7.246	5.595
7.446	6.142
7.646	6.689
7.846	7.236
8.047	7.782
8.246	8.876
8.446	9.423
8.646	9.969
8.846	10.516
9.046	11.063
9.246	11.610
9.446	12.156
9.646	12.703
9.846	13.797
10.046	14.343
10.246	14.890
10.446	15.437
10.646	15.984
10.846	16.530
11.046	17.077
11.246	17.624
11.446	18.171
11.646	19.264
11.846	19.811
12.046	20.358
12.246	20.904
12.446	21.451
12.646	22.545
12.846	23.091
13.047	23.638
13.246	24.185
13.446	24.732
13.646	25.278
13.846	25.825
14.046	26.372
14.246	27.465
14.446	28.012
14.646	28.559
14.846	29.105
15.046	29.652
15.246	30.199
15.446	30.746
15.646	31.839
15.846	32.386
16.046	32.933
16.246	33.479
16.446	34.026
16.646	34.573
16.846	35.120
17.046	35.666
17.246	36.213
17.446	37.307
17.646	37.853
17.846	38.400
18.046	38.947
18.246	39.494
18.448	40.040
18.646	40.587
18.846	41.134
19.046	41.681
19.246	42.774
19.448	43.321
19.646	43.868
19.846	44.414
20.046	44.961
20.246	45.508
20.446	46.055
20.646	46.601
20.846	47.695
21.046	48.241
21.246	48.788
21.446	49.335
21.647	49.882
21.846	50.428
22.046	50.975
22.246	51.522
22.446	52.069
22.646	52.615
22.846	53.709
23.046	54.256
23.246	54.802
23.446	55.349
23.647	55.896
23.846	56.443
24.046	56.989
24.246	57.536
24.446	58.630
24.646	59.176
24.846	59.723
25.046	60.270
25.246	60.817
25.446	61.363
25.652	61.910
25.846	62.457
26.046	63.004
26.246	64.097
26.446	64.644
26.646	65.191
26.846	65.737
27.046	66.284
27.246	66.831
27.446	67.378
27.646	67.924
27.847	68.471
28.046	69.564
28.246	70.111
28.446	70.658
28.646	71.205
28.846	71.751
29.046	72.298
29.247	72.845
29.446	73.392
29.646	74.485
29.846	75.032
30.046	75.579
30.246	76.125
30.446	76.672
30.646	77.219
30.846	77.766
31.046	78.312
31.246	79.406
31.446	79.953
31.646	80.499
31.846	81.046
32.046	81.593
32.246	82.140
32.446	82.686
32.646	83.233
32.846	83.780
33.046	84.873
33.246	85.420
33.447	85.967
33.647	86.514
33.846	87.060
34.046	87.607
34.246	88.154
34.446	88.701
34.646	89.247
34.846	89.794
35.046	90.887
35.246	91.434
35.446	91.981
35.646	92.528
35.846	93.074
36.046	93.621
36.246	94.168
36.446	94.715
36.646	95.261
36.846	96.355
37.046	96.902
37.246	97.448
37.446	97.995
37.646	98.542
37.846	99.089
38.046	99.635
38.246	100.182
38.446	100.729
38.646	101.276
38.846	101.822
39.046	102.916
39.246	103.463
39.446	104.009
39.646	104.556
39.846	105.103
40.046	105.650
40.246	106.196
40.446	106.743
40.646	107.290
40.846	107.837
41.046	108.930
41.246	109.477
41.446	110.024
41.646	110.570
41.846	111.117
42.046	111.664
42.246	112.210
42.446	112.757
42.646	113.304
42.846	113.851
43.046	114.397
43.246	114.944
43.446	116.038
43.646	116.584
43.846	117.131
44.046	117.678
44.247	118.225
44.446	118.771
44.646	119.318
44.846	119.865
45.046	120.412
45.246	121.505
45.446	122.052
45.646	122.599
45.846	123.145
46.046	123.692
46.246	124.239
46.446	124.786
46.646	125.332
46.846	125.879
47.046	126.426
47.246	126.973
47.446	128.066
47.646	128.613
47.846	129.160
48.046	129.706
48.246	130.253
48.446	130.800
48.646	131.347
48.846	131.893
49.046	132.440
49.246	133.533
49.446	134.080
49.646	134.627
49.846	135.174
50.046	135.720
50.246	136.267
50.446	136.814
50.646	137.361
50.846	137.907
51.046	138.454
51.246	139.001
51.446	139.548
51.646	140.094
51.846	141.188
52.046	141.735
52.246	142.281
