Motion Through Fluids Experiment Tue, Feb 28, 2023 3:30 PM
Time(sec)	Position(mm)
0.192	0.000
0.392	0.000
0.592	0.000
0.792	0.000
0.992	0.000
1.192	0.000
1.392	0.000
1.592	0.000
1.792	0.000
1.992	0.000
2.192	0.000
2.392	0.000
2.592	0.000
2.792	0.000
2.992	0.000
3.192	0.000
3.392	0.000
3.592	0.000
3.792	0.000
3.992	0.000
4.192	0.000
4.392	0.000
4.592	0.000
4.792	0.000
4.992	0.000
5.192	0.000
5.392	0.000
5.592	0.000
5.792	0.000
5.992	0.000
6.192	0.000
6.392	0.000
6.592	0.000
6.792	0.000
6.992	0.000
7.192	0.000
7.392	0.000
7.592	0.000
7.792	0.000
7.992	0.000
8.192	0.675
8.392	1.768
8.592	2.315
8.792	2.862
8.992	3.409
9.192	4.502
9.392	5.049
9.592	5.595
9.792	6.142
9.992	6.689
10.193	7.782
10.398	8.329
10.592	8.876
10.792	9.423
10.992	10.516
11.192	11.063
11.392	11.610
11.592	12.156
11.792	12.703
11.992	13.797
12.193	14.343
12.392	14.890
12.592	15.437
12.792	16.530
12.992	17.077
13.192	17.624
13.392	18.171
13.592	18.717
13.792	19.811
13.992	20.358
14.192	20.904
14.392	21.451
14.592	22.545
14.792	23.091
14.992	23.638
15.193	24.185
15.392	24.732
15.592	25.825
15.792	26.372
15.992	26.918
16.192	28.012
16.392	28.559
16.592	29.105
16.792	29.652
16.992	30.199
17.192	31.292
17.392	0.000
17.593	0.000
17.792	0.000
17.993	33.479
18.192	34.573
18.392	35.120
18.592	35.666
18.792	36.213
18.992	37.307
19.192	37.853
19.392	38.400
19.592	38.947
19.792	39.494
19.992	40.587
20.192	41.134
20.392	41.681
20.592	42.227
20.793	43.321
20.992	43.868
21.192	44.414
21.392	44.961
21.592	46.055
21.792	0.000
21.992	0.000
22.192	0.000
22.392	48.788
22.592	49.335
22.792	49.882
22.992	50.428
23.192	50.975
23.393	52.069
23.592	52.615
23.792	53.162
23.992	53.709
24.192	54.802
24.392	55.349
24.592	55.896
24.792	56.443
24.992	56.989
25.192	57.536
25.392	58.630
25.592	59.176
25.792	59.723
25.992	60.270
26.192	61.363
26.392	61.910
26.592	62.457
26.792	63.004
26.992	64.097
27.192	64.644
27.392	65.191
27.592	65.737
27.792	66.831
27.992	67.378
28.192	67.924
28.392	68.471
28.592	69.018
28.792	70.111
28.992	70.658
29.192	71.205
29.392	71.751
29.592	72.845
29.792	73.392
29.992	73.938
30.192	74.485
30.392	75.579
30.592	76.125
30.792	76.672
30.992	77.219
31.192	77.766
31.392	78.859
31.592	79.406
31.792	79.953
31.992	80.499
32.192	81.593
32.392	82.140
32.593	82.686
32.792	83.233
32.992	84.327
33.192	84.873
33.392	85.420
33.592	85.967
33.792	86.514
33.993	87.607
34.192	88.154
34.392	88.701
34.592	89.247
34.792	90.341
34.992	90.887
35.192	91.434
35.392	91.981
35.592	93.074
35.792	93.621
35.992	94.168
36.193	94.715
36.392	95.261
36.592	96.355
36.792	96.902
36.992	97.448
37.192	97.995
37.392	98.542
37.592	99.635
37.792	100.182
37.992	100.729
38.192	101.276
38.392	102.369
38.592	102.916
38.792	103.463
38.992	104.009
39.192	105.103
39.392	105.650
39.592	106.196
39.792	106.743
39.993	107.290
40.192	108.383
40.393	108.930
40.592	109.477
40.792	110.024
40.992	111.117
41.192	111.664
41.392	112.210
41.592	112.757
41.792	113.851
41.992	114.397
42.192	114.944
42.392	115.491
42.592	116.038
42.792	117.131
42.992	117.678
43.192	118.225
43.392	118.771
43.592	119.865
43.792	120.412
43.992	120.958
44.192	122.052
44.392	122.599
44.592	123.145
44.792	123.692
44.992	124.239
45.192	124.786
45.392	125.879
45.592	126.426
45.792	126.973
45.992	127.519
46.192	128.066
46.392	129.160
46.592	129.706
46.792	0.000
46.992	131.347
47.192	131.893
47.392	132.440
47.592	132.987
47.792	133.533
47.992	134.080
48.192	135.174
48.392	135.720
48.592	136.267
48.792	136.814
48.992	137.907
49.193	138.454
49.392	139.001
49.592	139.548
49.792	140.641
49.992	141.188
50.192	141.735
50.392	142.281
50.592	142.828
50.792	143.922
50.992	144.468
51.192	145.015
51.392	145.562
51.592	146.109
51.792	147.202
51.992	147.749
52.192	148.296
52.392	148.842
52.592	149.936
52.792	150.483
52.992	151.029
53.192	151.576
53.392	152.670
53.593	153.216
53.792	153.763
53.992	154.310
54.192	154.856
54.392	155.950
54.592	156.497
54.792	157.043
54.992	157.590
55.193	158.684
55.392	159.230
55.592	159.777
55.792	160.324
55.992	161.417
56.192	161.964
56.392	162.511
56.592	163.058
56.792	163.604
56.992	164.151
57.192	165.245
57.392	165.791
57.592	166.338
57.792	166.885
57.992	167.978
58.192	168.525
58.392	169.072
58.592	169.619
58.792	170.712
58.992	171.259
59.192	171.806
59.392	172.352
59.592	172.899
59.792	173.992
59.992	174.539
60.192	175.086
60.392	175.633
60.592	176.726
60.792	177.273
60.992	177.820
61.192	178.366
61.392	178.913
61.592	180.007
61.792	180.553
61.992	181.100
62.192	181.647
62.392	182.194
62.592	183.287
62.792	183.834
62.992	184.381
63.192	184.927
63.392	186.021
63.592	186.568
63.792	187.114
63.992	187.661
64.192	188.208
64.392	189.301
64.592	189.848
64.793	190.395
64.992	190.942
65.192	192.035
65.392	192.582
65.592	193.129
65.792	193.675
65.992	194.222
66.192	195.316
66.392	195.862
66.593	196.409
66.792	196.956
66.992	198.049
67.192	198.596
67.392	199.143
67.592	199.689
67.792	200.236
67.992	200.783
68.192	201.876
68.392	202.423
68.592	202.970
68.792	203.517
68.992	204.063
69.192	205.157
69.392	205.704
69.592	206.250
69.792	206.797
69.992	207.891
70.192	208.437
70.392	208.984
70.592	209.531
70.793	210.078
70.992	211.171
71.192	211.718
71.392	212.265
71.592	212.811
71.792	213.358
71.992	214.452
72.192	214.998
72.392	215.545
72.592	216.092
72.792	217.185
72.992	217.732
