Motion Through Fluids Experiment Thu, Mar 02, 2023 1:42 PM
Time(sec)	Position(mm)
0.029	0.000
0.079	0.000
0.129	0.000
0.179	0.000
0.229	0.000
0.279	0.000
0.329	0.675
0.379	1.222
0.429	2.862
0.479	5.049
0.529	7.236
0.579	9.423
0.629	11.610
0.679	13.797
0.729	17.077
0.779	18.717
0.829	20.904
0.879	23.091
0.929	25.278
0.979	27.465
1.029	29.652
1.079	31.839
1.129	34.573
1.179	36.213
1.229	38.400
1.279	40.587
1.329	43.321
1.379	44.961
1.429	47.695
1.479	49.882
1.529	52.069
1.579	54.802
1.629	56.989
1.679	59.176
1.729	61.363
1.779	63.550
1.829	65.737
1.879	67.924
1.929	70.111
1.979	72.298
2.029	74.485
2.079	77.219
2.129	79.406
2.179	81.593
2.229	83.780
2.279	85.967
2.329	88.154
2.379	90.341
2.429	92.528
2.479	95.261
2.529	96.902
2.579	99.635
2.629	101.822
2.679	103.463
2.729	106.196
2.779	108.383
2.829	110.570
2.879	112.757
2.929	114.944
2.979	117.131
3.029	119.865
3.079	122.052
3.129	124.239
3.179	125.879
3.229	128.066
3.279	130.800
3.329	132.987
3.379	135.174
3.429	137.361
3.479	139.548
3.529	141.735
3.580	144.468
3.629	146.655
3.679	148.842
3.729	151.029
3.779	153.216
3.829	155.403
3.879	157.590
3.929	159.777
3.979	161.964
4.029	164.151
4.079	166.338
4.129	168.525
4.179	171.259
4.229	173.446
4.279	175.633
4.329	177.820
4.379	180.007
4.429	182.194
4.480	184.927
4.529	187.114
4.579	189.301
4.629	191.488
4.679	193.675
4.729	195.862
4.779	198.049
4.829	200.236
4.879	202.423
4.929	204.610
4.979	206.797
5.029	208.984
5.079	211.718
5.129	213.905
5.179	216.092
5.229	218.279
5.279	220.466
5.330	222.653
5.379	224.840
5.429	227.027
5.479	229.214
5.529	231.401
5.579	233.588
5.629	235.775
5.679	237.962
5.729	240.148
5.779	242.335
5.829	244.522
5.879	246.709
5.929	248.350
5.979	251.083
6.029	252.177
6.079	253.817
6.129	254.364
6.179	254.911
6.229	254.911
6.279	254.911
6.329	254.911
6.379	254.911
6.429	254.911
6.480	255.457
6.529	255.457
6.579	255.457
6.629	255.457
6.679	0.000
6.729	0.000
6.779	0.000
6.829	0.000
6.879	0.000
6.929	0.000
6.979	0.000
7.029	0.000
7.079	0.000
7.129	0.000
7.179	0.000
7.229	0.000
7.279	0.000
7.329	0.000
7.379	0.000
7.429	0.000
7.479	0.000
7.529	0.000
7.580	0.000
7.629	0.000
7.679	0.000
7.730	0.000
7.779	0.000
7.829	0.000
7.879	0.000
7.929	0.000
7.979	0.000
8.029	0.000
