Motion Through Fluids Experiment Thu, Mar 02, 2023 2:03 PM
Time(sec)	Position(mm)
0.027	0.000
0.094	0.000
0.161	0.000
0.228	0.000
0.295	0.000
0.362	0.000
0.429	0.000
0.496	0.000
0.563	0.000
0.630	0.000
0.697	0.000
0.764	0.000
0.831	0.000
0.898	0.000
0.965	0.000
1.032	0.675
1.099	1.222
1.166	1.222
1.233	2.315
1.300	3.409
1.367	3.409
1.434	5.049
1.501	5.595
1.568	6.689
1.635	7.236
1.702	7.782
1.769	8.876
1.836	9.423
1.903	10.516
1.970	11.063
2.037	12.156
2.104	12.703
2.171	13.797
2.238	14.343
2.305	15.437
2.372	15.984
2.439	16.530
2.506	17.624
2.573	18.171
2.640	19.264
2.707	19.811
2.775	20.904
2.841	21.451
2.908	22.545
2.975	23.091
3.042	24.185
3.109	24.732
3.177	25.278
3.243	26.372
3.310	27.465
3.377	28.012
3.444	29.105
3.511	29.652
3.578	30.199
3.645	31.292
3.712	31.839
3.779	32.933
3.846	33.479
3.913	34.573
3.980	35.120
4.047	36.213
4.114	36.760
4.181	37.853
4.248	38.400
4.315	38.947
4.382	40.040
4.449	40.587
4.516	41.134
4.583	42.227
4.650	42.774
4.717	43.868
4.784	44.414
4.851	45.508
4.918	46.055
4.985	47.148
5.052	48.241
5.119	48.788
5.186	49.882
5.253	50.428
5.320	51.522
5.387	52.069
5.454	53.162
5.521	53.709
5.588	54.256
5.655	55.349
5.722	55.896
5.789	56.989
5.857	57.536
5.923	58.630
5.990	59.176
6.057	59.723
6.124	60.817
6.191	61.363
6.258	62.457
6.325	63.004
6.392	64.097
6.459	64.644
6.526	65.191
6.593	66.284
6.660	66.831
6.727	67.924
6.794	68.471
6.861	69.564
6.928	70.111
6.995	71.205
7.062	71.751
7.129	72.298
7.196	73.392
7.263	73.938
7.330	75.032
7.397	75.579
7.464	76.672
7.532	77.219
7.598	78.312
7.665	78.859
7.733	79.953
7.799	80.499
7.866	81.046
7.933	82.140
8.000	82.686
8.067	83.780
8.134	84.327
8.201	85.420
8.268	85.967
8.335	87.060
8.402	87.607
8.469	88.701
8.536	89.247
8.603	89.794
8.670	90.341
8.737	91.981
8.804	92.528
8.872	93.074
8.938	94.168
9.005	94.715
9.072	95.808
9.139	96.355
9.206	97.448
9.273	97.448
9.340	98.542
9.407	99.635
9.474	100.182
9.541	100.729
9.608	101.822
9.675	102.916
9.742	103.463
9.809	104.009
9.876	105.103
9.943	105.650
10.010	106.196
10.077	107.290
10.144	107.837
10.211	108.930
10.278	109.477
10.345	110.024
10.412	111.117
10.479	111.664
10.546	112.757
10.613	113.304
10.680	114.397
10.747	114.944
10.814	116.038
10.881	116.584
10.948	117.131
11.015	118.225
11.083	118.771
11.149	119.865
11.216	120.412
11.283	121.505
11.350	122.052
11.417	122.599
11.484	123.692
11.551	124.239
11.618	124.786
11.685	125.879
11.752	126.426
11.819	127.519
11.886	128.066
11.953	129.160
12.020	129.706
12.087	130.253
12.154	131.347
12.221	131.893
12.288	132.987
12.355	133.533
12.422	134.080
12.489	135.174
12.556	136.267
12.623	136.814
12.690	137.907
12.757	138.454
12.824	139.001
12.891	140.094
12.958	140.641
13.025	141.735
13.092	142.281
13.159	143.375
13.226	143.375
13.293	144.468
13.360	145.015
13.427	146.109
13.494	146.655
13.561	147.202
13.628	148.296
13.695	148.842
13.762	149.936
13.829	150.483
13.896	151.576
13.963	152.123
14.030	152.670
14.097	153.763
14.164	154.310
14.231	154.856
14.298	155.950
14.365	156.497
14.432	157.590
14.499	158.137
14.566	158.684
14.633	159.777
14.700	160.324
14.767	161.417
14.834	161.964
14.901	163.058
14.968	163.604
15.035	164.151
15.102	165.245
15.169	165.791
15.236	166.338
15.303	167.432
15.370	167.978
15.437	169.072
15.504	169.619
15.571	170.165
15.638	171.259
15.705	171.806
15.772	172.899
15.839	173.446
15.906	173.992
15.973	175.086
16.040	175.633
16.107	176.179
16.175	177.273
16.241	177.820
16.308	178.366
16.375	179.460
16.442	180.007
16.510	180.553
16.576	181.647
16.643	182.740
16.710	183.287
16.777	183.834
16.844	184.927
16.911	185.474
16.978	186.021
17.045	187.114
17.112	187.661
17.179	188.755
17.246	189.301
17.313	189.848
17.380	190.942
17.447	191.488
17.514	192.035
17.581	193.129
17.648	193.675
17.715	194.222
