Motion Through Fluids Experiment Thu, Mar 02, 2023 2:05 PM
Time(sec)	Position(mm)
0.085	0.000
0.185	0.000
0.285	0.000
0.385	0.000
0.485	0.000
0.585	0.000
0.685	0.000
0.785	0.000
0.886	0.000
0.985	0.000
1.085	0.000
1.185	0.000
1.285	0.000
1.385	0.000
1.485	0.000
1.585	0.000
1.685	0.000
1.785	0.000
1.885	0.000
1.985	0.000
2.085	0.000
2.185	0.000
2.285	0.000
2.385	0.000
2.485	0.000
2.585	0.000
2.685	0.000
2.785	0.000
2.885	0.000
2.985	0.000
3.085	0.675
3.185	0.675
3.285	1.768
3.385	2.315
3.485	2.862
3.585	3.955
3.685	4.502
3.785	5.049
3.885	6.142
3.985	6.689
4.085	7.236
4.185	7.782
4.285	8.876
4.385	9.423
4.485	9.969
4.585	11.063
4.685	11.610
4.785	12.156
4.885	12.703
4.985	13.797
5.085	14.343
5.185	14.890
5.285	15.437
5.385	16.530
5.485	17.077
5.585	18.171
5.685	18.717
5.785	19.264
5.885	20.358
5.985	20.904
6.085	21.451
6.185	21.998
6.285	23.091
6.387	23.638
6.485	24.185
6.585	25.278
6.685	25.825
6.785	26.372
6.885	26.918
6.985	28.012
7.085	28.559
7.185	29.105
7.285	30.199
7.386	30.746
7.485	31.292
7.585	31.839
7.685	32.933
7.785	33.479
7.885	34.026
7.985	35.120
8.085	35.666
8.185	36.213
8.285	36.760
8.390	37.853
8.485	38.400
8.585	38.947
8.685	39.494
8.785	40.587
8.885	41.134
8.985	41.681
9.085	42.774
9.185	43.321
9.285	43.868
9.385	44.414
9.485	45.508
9.585	46.055
9.685	46.601
9.785	47.148
9.885	48.241
9.985	48.788
10.085	49.335
10.185	50.428
10.285	50.975
10.385	51.522
10.485	52.615
10.585	53.162
10.685	53.709
10.785	54.802
10.886	55.349
10.985	55.896
11.085	56.443
11.185	57.536
11.285	58.083
11.385	58.630
11.486	59.723
11.585	60.270
11.685	60.817
11.785	61.363
11.885	62.457
11.985	63.004
12.085	63.550
12.185	64.097
12.285	65.191
12.385	65.737
12.485	66.284
12.585	66.831
12.685	67.924
12.785	68.471
12.885	69.018
12.985	69.564
13.085	70.658
13.185	71.205
13.285	71.751
13.385	72.845
13.485	73.392
13.585	73.938
13.685	74.485
13.785	75.579
13.885	76.125
13.985	76.672
14.085	77.766
14.185	78.312
14.285	78.859
14.385	79.406
14.485	80.499
14.585	81.046
14.685	81.593
14.785	82.140
14.885	83.233
14.985	83.780
15.085	84.327
15.185	84.873
15.285	85.967
15.385	86.514
15.485	87.060
15.585	87.607
15.685	88.701
15.785	89.247
15.885	89.794
15.985	90.341
16.085	91.434
16.185	91.981
16.285	92.528
16.385	93.074
16.485	94.168
16.585	94.715
16.685	95.261
16.785	95.808
16.885	96.902
16.985	97.448
17.085	97.995
17.185	99.089
17.285	99.635
17.385	100.182
17.485	101.276
17.585	101.822
17.685	102.369
17.785	102.916
17.885	104.009
17.985	104.009
18.085	105.103
18.186	105.650
18.285	106.743
