Motion Through Fluids Experiment Thu, Mar 02, 2023 1:41 PM
Time(sec)	Position(mm)
0.191	0.000
0.391	0.000
0.591	0.000
0.791	0.000
0.991	0.000
1.191	0.000
1.391	0.000
1.591	0.000
1.791	0.000
1.991	0.000
2.191	0.000
2.391	0.000
2.591	0.000
2.791	0.000
2.991	0.000
3.191	0.000
3.391	0.000
3.591	0.000
3.791	0.000
3.992	0.000
4.192	0.000
4.391	0.000
4.591	0.000
4.791	1.222
4.991	1.768
5.191	2.315
5.391	2.862
5.591	3.409
5.791	3.955
5.991	5.049
6.191	5.595
6.391	6.142
6.591	6.689
6.791	7.236
6.991	8.329
7.191	8.876
7.391	9.423
7.591	9.969
7.792	10.516
7.991	11.610
8.191	12.156
8.391	12.703
8.591	13.250
8.792	13.797
8.991	14.343
9.191	15.437
9.391	15.984
9.591	16.530
9.792	17.077
9.991	17.624
10.191	18.717
10.391	19.264
10.591	19.811
10.791	20.358
10.991	20.904
11.191	21.998
11.391	22.545
11.591	23.091
11.791	23.638
11.991	24.185
12.191	24.732
12.391	25.825
12.591	26.372
12.791	26.918
12.991	27.465
13.191	28.559
13.391	29.105
13.591	29.652
13.791	30.199
13.991	30.746
14.191	31.292
14.391	32.386
14.591	32.933
14.791	33.479
14.991	34.026
15.191	0.000
15.391	0.000
15.591	36.213
15.791	36.760
15.991	37.307
16.191	37.853
16.392	38.400
16.591	39.494
16.791	40.040
16.991	40.587
17.191	41.134
17.391	41.681
17.591	42.227
17.791	43.321
17.991	43.868
18.191	44.414
18.391	44.961
18.591	45.508
18.791	46.055
18.991	47.148
19.191	47.695
19.391	48.241
19.591	48.788
19.791	49.335
19.991	49.882
20.191	50.428
20.391	51.522
20.591	52.069
20.791	52.615
20.991	53.162
21.191	54.256
21.391	54.802
21.591	55.349
21.791	55.896
21.991	56.443
22.191	56.989
22.391	58.083
22.591	58.630
22.791	59.176
22.991	59.723
23.191	60.270
23.391	60.817
23.591	61.910
23.791	62.457
23.991	63.004
24.191	63.550
24.391	64.097
24.591	65.191
24.792	65.737
24.991	66.284
25.191	66.831
25.391	67.924
25.591	68.471
25.791	69.018
25.991	69.564
26.191	70.111
26.391	70.658
26.591	71.751
26.791	72.298
26.991	72.845
27.191	73.392
27.391	73.938
27.591	74.485
27.791	75.579
27.991	76.125
28.191	76.672
28.392	77.219
28.591	77.766
28.791	78.859
28.991	79.406
29.191	79.953
29.391	80.499
29.591	81.046
29.791	82.140
29.991	82.686
30.192	83.233
30.392	83.780
30.591	84.327
30.791	84.873
30.991	85.420
31.191	85.967
31.391	87.060
31.591	87.607
31.791	88.154
31.991	88.701
32.191	89.794
32.391	90.341
32.591	90.887
32.791	91.434
32.991	91.981
33.191	93.074
33.391	93.621
33.591	94.168
33.791	94.715
33.991	95.261
34.191	95.808
34.391	96.902
34.591	97.448
34.791	97.995
34.991	98.542
35.191	0.000
35.391	0.000
35.591	100.729
35.791	101.276
35.991	101.822
36.191	102.369
36.391	103.463
36.591	104.009
36.791	104.556
36.994	105.103
37.192	105.650
37.391	106.743
37.591	107.290
37.791	107.837
37.991	108.383
38.191	108.930
38.391	109.477
38.591	110.570
38.791	111.117
38.991	111.664
39.192	112.210
39.391	112.757
39.591	113.851
