Motion Through Fluids Experiment Thu, Mar 02, 2023 1:46 PM
Time(sec)	Position(mm)
0.063	0.000
0.130	0.000
0.197	0.000
0.264	0.000
0.331	0.000
0.398	0.000
0.465	0.000
0.532	0.000
0.599	0.000
0.666	0.000
0.733	0.000
0.800	0.000
0.867	0.000
0.934	0.000
1.001	0.000
1.068	0.000
1.135	0.000
1.202	0.000
1.269	0.000
1.337	0.000
1.403	0.000
1.470	0.000
1.537	0.000
1.605	0.000
1.671	0.000
1.738	0.000
1.805	0.000
1.872	0.000
1.939	0.000
2.006	0.000
2.073	0.000
2.140	0.000
2.207	0.675
2.274	1.222
2.341	2.315
2.408	2.862
2.475	3.955
2.542	5.049
2.609	5.595
2.676	6.142
2.743	7.236
2.810	7.782
2.877	8.876
2.944	9.969
3.011	10.516
3.078	11.610
3.145	12.156
3.212	13.250
3.279	13.797
3.346	14.890
3.413	15.437
3.480	16.530
3.547	17.077
3.614	18.171
3.681	19.264
3.748	19.811
3.815	20.904
3.882	21.451
3.949	22.545
4.016	23.091
4.083	24.185
4.150	24.732
4.217	25.825
4.284	26.372
4.351	27.465
4.418	28.012
4.485	29.105
4.552	29.652
4.619	30.746
4.686	31.292
4.753	31.839
4.824	33.479
4.887	34.026
4.954	34.573
5.021	35.666
5.088	36.213
5.155	37.307
5.222	37.853
5.289	38.947
5.356	40.040
5.424	40.587
5.490	41.134
5.557	42.227
5.624	43.321
5.691	43.868
5.758	44.961
5.825	45.508
5.892	46.055
5.959	47.695
6.026	48.241
6.093	48.788
6.160	49.882
6.227	50.428
6.294	51.522
6.361	52.615
6.428	53.162
6.495	54.256
6.562	54.802
6.629	55.896
6.696	56.443
6.763	57.536
6.830	58.083
6.897	59.176
6.964	59.723
7.031	60.817
7.098	61.363
7.165	62.457
7.232	63.004
7.299	64.097
7.366	64.644
7.433	65.737
7.500	66.284
7.567	67.378
7.634	67.924
7.701	69.018
7.768	69.564
7.835	70.658
7.902	71.205
7.969	72.298
8.036	72.845
8.103	73.938
8.170	74.485
8.237	75.579
8.304	76.125
8.371	77.219
8.438	77.766
8.505	78.859
8.572	79.406
8.639	80.499
8.706	81.593
8.773	82.140
8.840	83.233
8.907	83.780
8.974	84.873
9.041	85.420
9.108	86.514
9.175	87.060
9.242	88.154
9.309	88.701
9.376	89.794
9.443	90.341
9.510	91.434
9.577	91.981
9.644	93.074
9.711	93.621
9.778	94.715
9.845	95.808
9.912	96.355
9.979	96.902
10.046	97.995
10.113	98.542
10.181	99.635
10.247	100.182
10.314	101.276
10.381	101.822
10.448	102.916
10.515	103.463
10.582	104.556
10.649	105.103
10.716	106.196
10.783	107.290
10.850	107.837
10.917	108.383
10.984	109.477
11.051	110.570
11.118	111.117
11.185	112.210
11.252	112.757
11.319	113.851
11.386	114.397
11.453	115.491
11.520	116.038
11.587	117.131
11.654	117.678
11.721	118.771
11.788	119.865
11.855	120.412
11.922	121.505
11.989	122.052
12.056	122.599
12.123	123.692
12.190	124.786
12.257	125.332
12.325	126.426
12.391	126.973
12.458	128.066
12.525	128.613
12.592	129.160
12.659	130.253
12.726	131.347
12.793	131.893
12.860	132.440
12.927	133.533
12.994	134.080
13.061	135.174
13.128	135.720
13.195	136.814
13.262	137.907
13.329	138.454
13.396	139.548
13.463	140.094
13.530	141.188
13.597	141.735
13.664	142.828
13.731	143.375
13.798	144.468
13.865	145.015
13.932	146.109
13.999	146.655
14.066	147.749
14.133	148.296
14.200	149.389
14.267	149.936
14.334	151.029
14.401	151.576
14.469	152.670
14.535	153.763
14.602	154.310
14.669	154.856
14.736	155.950
14.803	157.043
14.870	157.590
14.937	158.684
15.004	159.230
15.071	160.324
15.138	160.871
15.205	161.964
15.272	162.511
15.339	163.604
15.406	164.151
15.473	165.245
15.540	165.791
15.607	166.885
15.674	167.432
15.741	168.525
15.808	169.072
15.875	170.165
15.942	170.712
16.009	171.806
16.076	172.352
16.143	172.899
16.211	173.992
16.277	175.086
16.344	175.633
16.411	176.726
16.478	177.273
16.545	177.820
16.612	178.913
16.679	180.007
16.746	180.553
16.813	181.647
16.880	182.194
16.947	183.287
17.014	183.834
17.081	184.927
17.148	185.474
17.215	186.568
17.282	187.114
17.349	188.208
17.416	188.755
17.483	189.848
17.550	190.395
17.617	191.488
17.684	192.035
17.751	193.129
17.818	193.675
17.885	194.769
17.952	195.316
18.019	196.409
18.086	196.956
18.153	198.049
18.220	198.596
18.287	199.689
18.354	200.236
18.421	201.330
18.488	201.876
18.555	202.970
18.622	203.517
18.689	204.610
18.756	205.157
18.823	206.250
18.890	206.797
18.957	207.891
19.024	208.437
19.091	209.531
19.158	210.078
19.225	211.171
19.293	211.718
19.359	212.811
19.426	213.358
19.493	214.452
19.560	214.998
19.627	215.545
19.694	216.638
19.761	217.732
19.828	218.279
19.895	219.372
19.962	219.919
20.029	221.012
20.096	221.559
20.163	222.653
20.230	223.199
20.297	224.293
20.364	224.840
20.431	225.933
20.498	226.480
20.565	227.573
20.632	228.120
20.699	229.214
20.766	229.760
20.833	230.307
20.900	231.401
20.967	232.494
21.034	233.041
21.101	234.134
21.168	234.681
21.235	235.228
21.302	236.321
21.369	236.868
21.436	237.962
21.503	238.508
21.570	239.602
21.637	240.148
21.704	241.242
21.771	241.789
21.838	242.882
21.905	243.429
21.972	243.976
22.039	245.069
22.106	245.616
22.173	246.709
22.240	247.256
22.307	248.350
22.374	248.896
22.441	249.443
22.508	250.537
22.576	251.083
22.642	251.630
22.709	252.724
22.776	253.270
22.843	253.817
22.910	254.364
22.977	254.911
23.044	255.457
23.111	0.000
23.179	0.000
23.245	0.000
23.312	0.000
23.379	0.000
23.446	0.000
23.513	0.000
23.580	0.000
23.647	0.000
23.714	0.000
23.781	0.000
23.848	0.000
