Motion Through Fluids Experiment Thu, Mar 02, 2023 1:44 PM
Time(sec)	Position(mm)
0.006	0.000
0.105	0.000
0.155	0.000
0.205	0.000
0.255	0.000
0.306	0.000
0.355	0.000
0.405	0.000
0.455	0.000
0.505	0.000
0.555	0.000
0.605	0.000
0.655	0.000
0.705	0.000
0.755	0.000
0.805	0.000
0.855	0.000
0.905	0.000
0.955	0.000
1.005	0.000
1.055	0.000
1.106	0.000
1.155	0.000
1.205	0.000
1.255	0.000
1.305	0.000
1.355	0.000
1.405	0.000
1.455	0.000
1.505	0.000
1.555	0.000
1.605	0.000
1.655	0.000
1.705	0.000
1.755	0.000
1.805	0.000
1.855	0.000
1.905	0.000
1.955	0.000
2.005	0.000
2.055	0.000
2.105	0.000
2.156	0.000
2.205	0.000
2.255	0.000
2.305	0.000
2.355	0.000
2.405	0.000
2.455	0.000
2.505	0.000
2.555	0.000
2.605	0.675
2.655	1.222
2.705	1.768
2.755	3.409
2.805	4.502
2.856	6.142
2.905	7.236
2.955	8.329
3.005	9.969
3.055	11.063
3.105	12.703
3.155	13.797
3.205	14.890
3.255	16.530
3.305	17.624
3.355	19.264
3.405	20.358
3.455	21.998
3.505	23.091
3.555	24.185
3.605	25.825
3.655	27.465
3.705	28.559
3.755	29.652
3.805	31.292
3.855	32.386
3.905	34.026
3.955	35.120
4.005	36.760
4.055	37.853
4.105	38.947
4.155	40.587
4.205	41.681
4.255	43.321
4.305	44.414
4.355	45.508
4.405	47.695
4.455	48.788
4.505	50.428
4.555	50.975
4.605	53.162
4.656	54.256
4.705	55.349
4.755	56.989
4.805	58.083
4.855	59.723
4.905	60.817
4.955	62.457
5.005	63.550
5.055	65.191
5.105	66.284
5.155	67.378
5.205	69.018
5.255	70.111
5.305	71.751
5.356	72.845
5.405	74.485
5.455	75.579
5.505	76.672
5.555	78.312
5.605	79.406
5.655	81.046
5.705	82.140
5.755	83.780
5.805	84.873
5.855	86.514
5.906	88.154
5.955	89.247
6.005	90.887
6.055	91.434
6.105	93.074
6.155	94.715
6.206	95.808
6.255	97.448
6.305	98.542
6.355	99.635
6.406	101.276
6.455	102.369
6.505	104.009
6.555	105.103
6.605	106.196
6.655	107.837
6.705	108.930
6.755	110.570
6.805	111.664
6.855	113.304
6.905	114.397
6.955	116.038
7.005	117.131
7.055	118.771
7.106	119.865
7.155	120.958
7.205	122.599
7.255	123.692
7.305	125.332
7.355	126.426
7.405	127.519
7.455	129.160
7.505	130.800
7.555	132.440
7.605	133.533
7.655	134.627
7.705	136.267
7.755	137.361
7.805	139.001
7.855	140.094
7.905	141.735
7.956	142.828
8.006	143.922
8.055	145.562
8.105	146.655
8.155	148.296
8.205	149.389
8.256	151.029
8.305	152.123
8.355	153.763
8.405	154.856
8.455	155.950
8.505	157.590
8.557	158.684
8.605	160.324
8.655	161.417
8.705	163.058
8.755	164.151
8.805	165.791
8.855	167.432
8.905	168.525
8.955	169.619
9.005	171.259
9.055	172.352
9.105	173.446
9.155	175.086
9.205	176.179
9.255	177.820
9.305	178.913
9.355	180.553
9.405	181.100
9.455	182.740
9.505	184.381
9.557	185.474
9.605	186.568
9.655	188.208
9.705	189.301
9.755	190.942
9.805	192.035
9.855	193.675
9.905	193.675
9.955	193.675
10.005	197.502
10.055	198.596
10.105	200.236
10.155	201.330
10.206	202.970
10.255	204.610
10.305	205.157
10.355	207.344
10.405	208.437
10.456	209.531
10.505	211.171
10.555	212.265
10.605	213.905
10.655	214.998
10.705	216.092
10.755	217.732
10.805	218.825
10.855	220.466
10.905	221.559
10.955	222.653
11.005	224.293
11.055	225.386
11.105	227.027
11.155	228.120
11.205	229.760
11.255	230.854
11.305	232.494
11.355	233.041
11.405	235.228
11.455	236.321
11.505	237.415
11.555	239.055
11.605	240.148
11.655	241.242
11.705	242.882
11.755	243.976
11.805	245.069
11.855	246.709
11.905	247.803
11.955	248.896
12.005	249.990
12.055	251.083
12.105	252.177
12.155	253.817
12.205	254.364
12.255	254.911
12.305	255.457
12.355	0.000
12.405	0.000
12.455	0.000
12.505	0.000
12.555	0.000
12.605	0.000
12.655	0.000
12.705	0.000
12.755	0.000
12.805	0.000
12.856	0.000
12.905	0.000
12.955	0.000
