Motion Through Fluids Experiment Thu, Mar 02, 2023 1:47 PM
Time(sec)	Position(mm)
0.006	0.000
0.106	0.000
0.206	0.000
0.306	0.000
0.406	0.000
0.506	0.000
0.606	0.000
0.706	0.000
0.806	0.000
0.906	0.000
1.006	0.000
1.106	0.000
1.206	0.000
1.306	0.000
1.406	0.000
1.506	0.000
1.606	0.000
1.706	0.000
1.806	0.000
1.906	0.000
2.006	0.000
2.107	0.000
2.206	0.000
2.309	0.000
2.406	0.000
2.506	0.000
2.606	0.000
2.706	0.000
2.806	1.222
2.906	2.315
3.006	2.862
3.106	3.409
3.206	4.502
3.308	5.049
3.406	5.595
3.506	6.689
3.606	7.236
3.706	7.782
3.806	8.876
3.906	9.423
4.006	9.969
4.106	11.063
4.206	11.610
4.309	12.156
4.406	12.703
4.506	13.797
4.606	14.343
4.707	15.437
4.806	15.984
4.906	16.530
5.006	17.624
5.106	18.171
5.207	18.717
5.306	19.811
5.406	20.358
5.506	20.904
5.606	21.998
5.706	22.545
5.806	23.091
5.906	24.185
6.006	24.732
6.106	25.278
6.206	25.825
6.308	26.918
6.406	27.465
6.506	28.559
6.606	29.105
6.706	29.652
6.807	30.199
6.906	30.746
7.006	31.839
7.106	32.933
7.206	33.479
7.308	34.026
7.406	34.573
7.506	35.666
7.606	36.213
7.706	36.760
7.806	37.853
7.906	38.400
8.006	38.947
8.106	40.040
8.206	40.587
8.309	41.134
8.406	42.227
8.506	42.774
8.606	43.321
8.706	43.868
8.806	44.961
8.906	45.508
9.006	46.055
9.106	0.000
9.206	48.241
9.311	46.601
9.406	49.335
9.506	49.882
9.606	50.428
9.706	51.522
9.806	52.069
9.906	52.615
10.006	53.709
10.106	54.256
10.206	54.802
10.306	55.896
10.406	56.443
10.506	56.989
10.606	58.083
10.706	58.630
10.806	59.176
10.906	60.270
11.006	60.817
11.106	61.363
11.206	62.457
11.306	63.004
11.406	63.550
11.507	64.644
11.606	65.191
11.706	65.737
11.806	66.831
11.907	67.378
12.006	67.924
12.106	69.018
12.206	69.564
12.306	70.111
12.406	70.658
12.506	71.751
12.606	72.298
12.706	72.845
12.806	73.938
12.906	74.485
13.006	75.032
13.106	75.579
13.206	76.672
13.306	77.219
13.406	77.766
13.506	78.859
13.606	79.406
13.706	80.499
13.806	81.046
13.906	81.593
14.006	82.686
14.106	83.233
14.206	83.780
14.306	84.873
14.406	85.420
14.506	85.967
14.606	86.514
14.706	87.607
14.806	88.154
14.906	88.701
15.006	89.794
15.106	90.341
15.206	90.887
15.306	91.981
15.406	92.528
15.506	93.074
15.606	94.168
15.706	94.715
15.806	95.261
15.907	96.355
16.006	96.902
16.106	97.448
16.206	98.542
16.306	99.089
16.406	99.635
16.507	100.729
16.606	101.276
16.706	101.822
16.806	102.916
16.906	103.463
17.006	104.009
17.106	105.103
17.206	105.650
17.306	106.196
17.406	106.743
17.506	107.837
17.606	108.383
17.706	108.930
17.806	110.024
