Motion Through Fluids Experiment Tue, Feb 28, 2023 3:38 PM
Time(sec)	Position(mm)
0.045	0.000
0.095	0.000
0.151	0.000
0.195	0.000
0.245	0.000
0.295	0.000
0.345	0.000
0.395	0.000
0.445	0.000
0.495	0.675
0.545	1.768
0.596	2.862
0.645	3.955
0.695	5.049
0.745	7.236
0.795	8.329
0.845	9.969
0.895	11.063
0.945	12.703
0.997	13.797
1.045	14.890
1.095	16.530
1.145	17.624
1.195	19.264
1.245	20.358
1.295	21.998
1.345	23.638
1.395	24.732
1.445	25.825
1.495	27.465
1.545	29.105
1.595	29.652
1.645	30.746
1.695	33.479
1.745	34.573
1.795	35.666
1.845	37.307
1.895	38.400
1.945	40.040
1.995	41.134
2.045	42.774
2.096	43.868
2.145	44.961
2.195	47.148
2.245	48.241
2.295	49.335
2.345	50.975
2.395	52.615
2.445	53.709
2.495	55.349
2.545	56.443
2.595	58.083
2.645	58.630
2.695	60.817
2.745	61.910
2.795	63.550
2.846	64.644
2.895	66.284
2.945	67.378
2.996	69.018
3.045	70.111
3.095	71.751
3.145	72.845
3.195	74.485
3.245	75.579
3.295	77.219
3.345	78.312
3.395	79.953
3.445	81.046
3.495	82.686
3.545	83.780
3.595	85.420
3.645	86.514
3.695	88.154
3.745	89.794
3.795	90.887
3.845	92.528
3.895	93.621
3.945	95.261
3.995	96.355
4.045	97.995
4.095	99.089
4.145	100.729
4.195	101.822
4.245	102.916
4.295	104.556
4.345	105.650
4.395	107.290
4.445	108.383
4.495	110.024
4.545	111.117
4.595	112.757
4.645	113.851
4.695	115.491
4.745	116.584
4.795	118.225
4.845	119.318
4.895	120.958
4.945	122.052
4.995	123.692
5.045	124.786
5.095	126.426
5.145	127.519
5.195	129.160
5.245	130.800
5.295	131.893
5.345	133.533
5.395	134.627
5.445	136.267
5.495	137.361
5.545	138.454
5.595	140.094
5.645	141.188
5.695	142.828
5.745	143.922
5.795	145.562
5.845	146.655
5.895	148.296
5.945	149.389
5.995	151.029
6.045	152.670
6.095	153.763
6.145	155.403
6.195	156.497
6.245	158.137
6.295	159.230
6.345	160.871
6.395	161.964
6.445	163.604
