Motion Through Fluids Experiment Thu, Mar 02, 2023 1:53 PM
Time(sec)	Position(mm)
0.017	0.000
0.067	0.000
0.117	0.000
0.167	0.675
0.217	1.222
0.267	1.768
0.317	2.315
0.367	3.955
0.417	5.049
0.467	6.142
0.517	7.782
0.567	8.876
0.617	10.516
0.667	12.156
0.717	13.250
0.767	14.343
0.817	15.437
0.867	17.077
0.917	18.171
0.967	19.811
1.017	20.904
1.067	22.545
1.117	23.638
1.167	25.278
1.217	26.372
1.267	28.012
1.318	29.105
1.367	30.199
1.417	31.839
1.467	33.479
1.517	34.573
1.567	31.839
1.617	31.839
1.667	31.839
1.717	31.292
1.767	41.681
1.817	42.774
1.867	44.414
1.917	45.508
1.967	47.148
2.017	48.241
2.067	49.335
2.117	46.601
2.167	52.615
2.217	53.709
2.267	55.349
2.317	56.443
2.367	58.083
2.417	59.176
2.467	60.270
2.517	61.910
2.567	63.550
2.617	64.644
2.667	66.284
2.717	67.378
2.767	69.018
2.817	70.111
2.867	71.751
2.917	72.845
2.968	73.938
3.017	75.579
3.067	76.672
3.117	78.312
3.167	79.406
3.217	81.046
3.267	82.140
3.317	83.780
3.367	84.873
3.417	86.514
3.468	87.607
3.517	88.701
3.567	90.341
3.617	91.434
3.667	93.074
3.717	94.168
3.767	95.808
3.817	96.902
3.867	97.995
3.917	99.635
3.967	100.729
4.017	102.369
4.067	103.463
4.117	105.103
4.167	106.196
4.217	107.837
4.267	108.930
4.317	110.570
4.367	111.664
4.417	113.304
4.467	114.397
4.517	116.038
4.567	117.131
4.617	118.225
4.667	119.865
4.717	120.958
4.767	122.599
4.817	123.692
4.867	125.332
4.917	126.426
4.967	128.066
5.017	129.160
5.067	130.800
5.117	127.519
5.167	133.533
5.217	134.627
5.267	136.267
5.317	137.361
5.367	139.001
5.417	140.094
5.467	141.735
5.517	142.828
5.567	144.468
5.617	145.562
5.667	146.655
5.717	148.296
5.767	149.389
5.817	151.029
5.867	152.123
5.917	153.763
5.967	154.856
6.017	156.497
6.067	157.590
6.117	159.230
6.167	160.324
6.217	161.417
6.267	163.058
6.317	164.151
6.367	165.791
6.417	167.432
6.467	168.525
6.517	165.245
6.567	171.259
6.618	172.352
6.667	173.992
6.717	175.086
6.767	176.179
6.817	177.273
6.867	175.086
6.917	175.086
6.967	181.647
7.017	183.287
7.067	184.381
7.117	186.021
7.167	187.114
7.217	188.208
7.267	189.848
7.317	190.942
7.367	192.035
7.417	193.675
7.467	194.769
7.517	196.409
7.567	193.675
7.617	199.143
7.667	200.236
7.717	201.876
7.767	202.970
7.817	204.610
7.867	205.704
7.917	207.344
7.967	208.437
8.017	210.078
8.067	211.171
8.117	212.811
8.167	213.905
8.217	214.998
8.267	216.638
8.317	217.732
8.368	219.919
8.417	219.372
8.467	218.825
8.517	223.199
8.567	224.840
8.617	225.933
8.667	227.027
8.717	228.667
8.767	229.760
8.817	231.401
8.867	232.494
8.917	233.588
8.967	235.228
9.017	236.321
9.067	237.962
9.117	239.055
9.167	240.148
9.217	241.789
9.267	242.882
9.317	244.522
9.367	245.616
9.417	246.709
9.467	248.350
9.517	249.443
9.567	250.537
9.617	251.630
9.667	252.724
9.717	253.817
9.767	253.817
9.817	254.364
9.867	254.911
9.917	254.911
9.967	254.911
10.017	255.457
10.067	0.000
10.117	0.000
10.167	0.000
10.217	0.000
10.267	0.000
10.318	0.000
10.367	0.000
10.417	0.000
10.467	0.000
10.517	0.000
10.567	0.000
10.617	0.000
10.667	0.000
