Motion Through Fluids Experiment Thu, Mar 02, 2023 1:32 PM
Time(sec)	Position(mm)
0.002	0.000
0.302	0.000
0.352	0.000
0.402	0.000
0.452	0.000
0.502	0.000
0.552	0.000
0.602	0.000
0.652	0.000
0.702	0.000
0.752	0.000
0.802	0.000
0.852	0.000
0.902	0.000
0.952	0.000
1.002	0.000
1.052	0.000
1.102	0.675
1.152	1.222
1.202	2.862
1.252	4.502
1.302	6.689
1.352	8.876
1.402	11.063
1.452	13.250
1.502	15.984
1.552	17.624
1.603	20.358
1.652	22.545
1.702	24.732
1.752	26.918
1.802	29.105
1.852	30.746
1.902	33.479
1.952	35.666
2.003	37.853
2.052	40.040
2.102	42.774
2.152	44.961
2.202	46.601
2.252	48.788
2.302	51.522
2.352	53.709
2.402	55.896
2.452	58.083
2.502	60.270
2.552	62.457
2.602	64.644
2.652	66.831
2.703	69.018
2.752	71.751
2.802	73.938
2.852	76.125
2.902	78.312
2.953	80.499
3.002	82.140
3.052	84.873
3.102	87.060
3.153	89.247
3.202	91.434
3.252	93.621
3.302	95.808
3.352	97.995
3.402	100.182
3.452	102.369
3.502	104.556
3.552	106.743
3.602	109.477
3.652	111.664
3.702	113.851
3.752	116.038
3.802	118.225
3.852	120.412
3.902	122.599
3.952	124.786
4.002	126.973
4.052	129.160
4.102	131.347
4.152	134.080
4.202	135.720
4.252	137.907
4.302	140.094
4.352	142.828
4.402	145.015
4.452	147.202
4.502	149.389
4.552	151.576
4.602	153.763
4.652	155.950
4.702	158.137
4.752	160.324
4.802	162.511
4.852	164.698
4.902	166.885
4.952	165.791
5.002	171.259
5.052	173.446
5.102	175.633
5.152	177.820
5.202	180.553
5.253	182.740
5.302	184.927
5.352	187.114
5.402	189.301
5.452	190.942
5.502	193.129
5.552	194.222
5.602	198.049
5.652	200.236
5.702	202.423
5.752	204.610
5.802	206.797
5.852	208.984
5.902	211.171
5.952	213.905
6.002	215.545
6.052	218.279
6.102	220.466
6.152	222.653
6.202	224.840
6.252	227.027
6.303	229.214
6.352	231.401
6.402	233.588
6.452	235.775
6.502	237.962
6.552	239.602
6.602	242.335
6.652	243.976
6.702	246.709
6.752	248.350
6.802	250.537
6.852	251.630
6.902	253.817
6.952	254.911
7.002	255.457
7.052	0.000
7.103	0.000
7.152	0.000
7.202	0.000
7.252	0.000
7.302	0.000
7.352	0.000
7.402	0.000
7.452	0.000
7.502	0.000
7.552	0.000
7.602	0.000
7.652	0.000
7.702	0.000
7.752	0.000
7.802	0.000
7.852	0.000
7.902	0.000
7.952	0.000
8.002	0.000
8.052	0.000
8.102	0.000
8.152	0.000
8.202	0.000
8.252	0.000
8.303	0.000
8.352	0.000
8.402	0.000
8.452	0.000
8.502	0.000
8.552	0.000
8.602	0.000
8.652	0.000
8.702	0.000
8.752	0.000
8.802	0.000
8.852	0.000
8.902	0.000
8.952	0.000
9.002	0.000
9.052	0.000
9.102	0.000
9.152	0.000
9.202	0.000
