Motion Through Fluids Experiment Thu, Mar 02, 2023 1:38 PM
Time(sec)	Position(mm)
0.008	0.000
0.108	0.000
0.208	0.000
0.308	0.000
0.408	0.000
0.508	0.000
0.609	0.000
0.708	0.000
0.808	0.000
0.908	0.000
1.008	0.000
1.108	0.000
1.208	0.000
1.308	0.000
1.409	0.000
1.508	0.000
1.608	0.000
1.708	0.000
1.808	1.222
1.908	1.768
2.008	2.862
2.108	3.409
2.208	3.955
2.308	5.049
2.408	5.595
2.508	6.142
2.609	7.236
2.708	7.782
2.808	8.329
2.908	9.423
3.009	9.969
3.108	10.516
3.208	11.610
3.308	12.156
3.408	12.703
3.508	13.797
3.608	14.343
3.708	14.890
3.808	15.437
3.908	16.530
4.008	17.077
4.108	17.624
4.208	18.717
4.309	19.264
4.408	19.811
4.508	20.904
4.608	21.451
4.708	21.998
4.808	23.091
4.908	23.638
5.008	24.185
5.108	25.278
5.208	25.825
5.309	26.372
5.408	27.465
5.508	28.012
5.608	29.105
5.708	29.652
5.808	30.199
5.908	30.746
6.008	31.292
6.108	0.000
6.208	33.479
6.308	34.026
6.408	34.573
6.508	35.120
6.608	36.213
6.708	36.760
6.808	37.307
6.908	38.400
7.008	38.947
7.108	39.494
7.208	40.587
7.308	41.134
7.408	41.681
7.508	42.774
7.608	43.321
7.708	43.868
7.808	44.414
7.908	44.961
8.008	45.508
8.108	47.148
8.208	47.148
8.308	46.601
8.408	46.601
8.508	49.882
8.608	50.428
8.708	50.975
8.808	51.522
8.908	52.615
9.008	53.162
9.108	53.709
9.208	54.802
9.308	55.349
9.408	56.443
9.508	56.989
9.608	57.536
9.708	58.083
9.808	59.176
9.908	59.723
10.008	60.270
10.108	61.363
10.208	61.910
10.308	62.457
10.408	63.550
10.509	64.097
10.608	65.191
10.708	65.737
10.808	66.284
10.908	67.378
11.009	67.924
11.108	68.471
11.208	69.564
11.309	70.111
11.408	70.658
11.508	71.751
11.608	72.298
11.708	72.845
11.808	73.392
11.908	74.485
12.008	75.032
12.108	75.579
12.208	76.672
12.308	77.219
12.408	77.766
12.508	78.859
12.608	79.406
12.708	79.953
12.808	81.046
12.908	81.593
13.008	82.140
13.108	82.686
13.208	83.780
13.308	84.327
13.408	84.873
13.508	85.967
13.608	86.514
13.708	87.060
13.808	88.154
13.908	88.701
14.008	89.247
14.108	89.794
14.208	90.887
14.308	91.434
14.408	91.981
14.508	93.074
14.608	93.621
14.708	94.715
14.808	95.261
14.908	95.808
15.008	96.902
15.108	97.448
15.208	97.995
15.309	99.089
15.408	99.635
15.508	100.182
15.608	101.276
