Motion Through Fluids Experiment Tue, Feb 28, 2023 3:34 PM
Time(sec)	Position(mm)
0.005	0.000
0.105	0.000
0.155	0.000
0.205	0.000
0.255	0.000
0.305	0.000
0.355	0.000
0.405	0.000
0.455	0.000
0.505	0.000
0.555	0.000
0.605	0.000
0.655	0.000
0.705	0.000
0.755	0.000
0.805	1.222
0.855	2.315
0.905	4.502
0.955	6.689
1.005	9.423
1.055	11.610
1.105	13.797
1.155	15.984
1.205	18.717
1.255	20.904
1.305	23.091
1.355	25.278
1.405	28.012
1.455	30.199
1.505	32.386
1.555	35.120
1.605	37.307
1.655	39.494
1.705	41.681
1.755	44.414
1.805	46.601
1.855	48.788
1.905	50.975
1.956	53.709
2.005	55.896
2.055	58.083
2.105	60.817
2.155	63.004
2.205	65.191
2.255	67.378
2.305	70.111
2.355	72.298
2.405	73.938
2.455	76.672
2.505	78.859
2.555	81.046
2.605	83.780
2.655	85.967
2.705	88.154
2.755	90.887
2.805	93.074
2.855	95.261
2.905	97.448
2.955	100.182
3.005	102.369
3.055	104.556
3.105	106.743
3.155	109.477
3.205	111.664
3.255	113.851
3.305	116.038
3.355	118.771
3.405	120.958
3.455	123.145
3.505	125.332
3.555	128.066
3.605	130.253
3.655	132.440
3.705	134.627
3.755	136.814
3.805	139.548
3.855	141.735
3.905	143.922
3.955	146.655
4.005	148.842
4.055	151.029
4.105	153.763
4.155	155.950
4.205	158.137
4.255	160.324
4.305	162.511
4.355	164.698
4.405	167.432
4.455	169.619
4.505	171.806
4.555	174.539
4.605	176.726
4.655	178.913
4.705	181.100
4.755	183.834
4.805	186.021
4.855	188.208
4.905	190.395
4.955	192.582
5.005	194.769
5.055	197.502
5.105	199.689
5.155	201.876
5.205	204.063
5.256	206.797
5.305	208.984
5.355	211.171
5.405	213.905
5.455	216.092
5.505	218.279
5.555	219.919
5.605	222.106
5.655	224.840
5.705	227.027
5.755	229.214
5.805	231.947
5.855	234.134
5.905	236.321
5.955	238.508
6.005	240.148
6.055	242.882
6.105	245.069
6.155	247.256
6.205	249.443
6.255	251.083
6.305	253.817
6.355	254.911
6.405	255.457
6.455	0.000
6.505	0.000
6.555	0.000
6.605	0.000
6.655	0.000
6.705	0.000
6.755	0.000
6.805	0.000
6.855	0.000
6.905	0.000
6.955	0.000
7.005	0.000
7.055	0.000
7.105	0.000
7.155	0.000
7.205	0.000
7.256	0.000
7.305	0.000
7.355	0.000
7.405	0.000
7.455	0.000
7.505	0.000
7.555	0.000
7.605	0.000
7.655	0.000
7.705	0.000
7.755	0.000
7.805	0.000
7.855	0.000
7.905	0.000
7.955	0.000
8.005	0.000
8.055	0.000
8.105	0.000
8.155	0.000
8.205	0.000
8.255	0.000
8.305	0.000
8.355	0.000
8.405	0.000
8.455	0.000
8.505	0.000
8.555	0.000
8.605	0.000
8.655	0.000
8.705	0.000
8.755	0.000
8.805	0.000
8.855	0.000
8.905	0.000
8.955	0.000
9.005	0.000
9.055	0.000
9.105	0.000
9.155	0.000
9.205	0.000
9.255	0.000
9.305	0.000
9.355	0.000
9.405	0.000
9.455	0.000
9.505	0.000
9.555	0.000
9.605	0.000
9.655	0.000
9.705	0.000
9.755	0.000
9.805	0.000
9.855	0.000
9.905	0.000
9.955	0.000
10.005	0.000
10.055	0.000
10.105	0.000
10.155	0.000
10.205	0.000
10.255	0.000
10.305	0.000
10.355	0.000
10.405	0.000
10.455	0.000
10.505	0.000
10.555	0.000
10.605	0.000
10.655	0.000
10.705	0.000
10.755	0.000
10.805	0.000
10.855	0.000
10.905	0.000
10.955	0.000
11.005	0.000
11.055	0.000
11.105	0.000
11.155	0.000
11.205	0.000
11.255	0.000
11.305	0.000
11.355	0.000
11.405	0.000
11.455	0.000
11.505	0.000
11.555	0.000
11.605	0.000
11.655	0.000
11.705	0.000
11.755	0.000
11.805	0.000
11.855	0.000
11.905	0.000
11.955	0.000
12.005	0.000
12.055	0.000
12.105	0.000
12.155	0.000
12.205	0.000
12.255	0.000
12.305	0.000
12.355	0.000
12.405	0.000
12.455	0.000
