Motion Through Fluids Experiment Tue, Feb 28, 2023 3:15 PM
Time(sec)	Position(mm)
0.021	0.000
0.071	0.000
0.121	0.000
0.171	0.000
0.221	0.000
0.271	0.000
0.321	0.000
0.371	0.000
0.421	0.000
0.471	0.000
0.521	0.000
0.571	0.000
0.621	0.000
0.671	0.000
0.721	0.675
0.771	1.768
0.821	3.409
0.871	5.595
0.921	7.782
0.971	9.969
1.021	12.156
1.071	14.343
1.121	16.530
1.171	19.264
1.221	21.451
1.272	23.638
1.321	25.825
1.371	28.559
1.421	30.746
1.471	32.933
1.522	35.666
1.571	37.853
1.621	40.587
1.671	42.774
1.721	44.414
1.771	47.148
1.821	49.882
1.871	52.069
1.921	54.256
1.971	56.443
2.021	59.176
2.071	61.363
2.121	63.550
2.171	65.737
2.221	68.471
2.271	70.658
2.321	72.845
2.371	75.579
2.421	77.766
2.471	79.953
2.521	82.686
2.571	84.327
2.621	87.060
2.671	89.247
2.721	91.434
2.771	93.621
2.821	95.808
2.871	97.995
2.921	100.729
2.971	102.916
3.022	105.103
3.071	107.837
3.121	110.024
3.171	112.210
3.221	114.397
3.271	117.131
3.321	119.318
3.372	121.505
3.421	124.239
3.471	126.426
3.521	128.613
3.571	130.800
3.621	133.533
3.671	135.720
3.721	137.907
3.771	140.094
3.821	142.281
3.871	145.015
3.921	147.202
3.971	149.936
4.021	152.123
4.071	154.310
4.121	156.497
4.171	158.684
4.221	161.417
4.271	163.604
4.321	165.791
4.371	167.978
4.421	170.712
4.471	172.899
4.521	175.086
4.571	177.273
4.621	179.460
4.671	181.647
4.721	184.381
4.771	186.568
4.821	188.755
4.871	190.942
4.921	193.129
4.971	195.862
5.021	194.222
5.071	200.783
5.121	202.970
5.171	205.157
5.221	207.344
5.271	209.531
5.321	211.718
5.371	214.452
5.421	216.638
5.471	218.825
5.521	221.012
5.571	223.746
5.622	225.933
5.671	227.573
5.721	229.760
5.771	231.947
5.821	234.681
5.871	236.868
5.921	239.055
5.971	241.242
6.021	243.429
6.071	245.616
6.121	247.803
6.171	249.990
6.221	252.177
6.271	254.364
6.321	254.911
6.371	0.000
6.421	0.000
6.471	0.000
6.521	0.000
6.571	0.000
6.621	0.000
6.671	0.000
6.721	0.000
6.771	0.000
6.821	0.000
6.871	0.000
