Motion Through Fluids Experiment Thu, Mar 02, 2023 1:50 PM
Time(sec)	Position(mm)
0.200	0.000
0.400	0.000
0.600	0.000
0.800	0.000
1.000	0.000
1.200	0.000
1.400	0.000
1.600	0.000
1.800	0.000
2.000	0.000
2.200	0.000
2.400	0.000
2.600	0.000
2.800	0.000
3.000	0.000
3.201	0.000
3.400	0.000
3.600	0.000
3.800	0.000
4.000	0.000
4.200	0.000
4.400	0.000
4.600	0.000
4.800	0.000
5.000	0.000
5.200	0.000
5.400	0.000
5.600	0.000
5.800	0.000
6.000	0.000
6.200	0.000
6.400	0.000
6.600	0.675
6.800	1.222
7.000	1.768
7.200	2.315
7.400	2.862
7.600	3.955
7.800	4.502
8.000	5.049
8.200	5.595
8.400	6.142
8.600	6.689
8.800	7.782
9.000	8.329
9.201	8.876
9.400	9.423
9.600	9.969
9.800	11.063
10.000	11.610
10.200	12.156
10.400	12.703
10.600	13.250
10.800	14.343
11.000	14.890
11.200	15.437
11.400	15.984
11.600	16.530
11.800	17.077
12.004	18.171
12.200	18.717
12.400	19.264
12.600	19.811
12.800	20.904
13.000	21.451
13.200	21.998
13.400	22.545
13.600	23.091
13.800	23.638
14.000	24.732
14.200	25.278
14.400	0.000
14.600	0.000
14.800	27.465
15.001	28.012
15.200	28.559
15.400	29.105
15.600	29.652
15.800	30.746
16.000	31.292
16.200	31.839
16.400	32.386
16.600	32.933
16.800	33.479
17.000	34.573
17.200	35.120
17.400	35.666
17.601	36.213
17.800	36.760
18.000	37.307
18.200	38.400
18.400	38.947
18.600	39.494
18.800	40.040
19.000	41.134
19.200	41.681
19.400	42.227
19.600	42.774
19.800	43.321
20.000	44.414
20.200	44.414
20.400	45.508
20.600	46.055
20.800	0.000
21.000	0.000
21.200	48.241
21.400	48.788
21.600	49.335
21.800	49.882
22.000	50.428
22.200	50.975
22.400	52.069
22.600	52.615
22.800	53.162
23.000	53.709
23.200	54.256
23.400	55.349
23.600	55.896
23.800	56.443
24.000	56.989
24.200	57.536
24.400	58.083
