Motion Through Fluids Experiment Thu, Mar 02, 2023 1:51 PM
Time(sec)	Position(mm)
0.008	0.000
0.108	1.768
0.159	2.862
0.208	5.049
0.258	7.236
0.309	9.423
0.358	11.610
0.408	14.343
0.458	16.530
0.508	18.717
0.559	20.904
0.608	23.091
0.658	25.278
0.708	27.465
0.758	30.199
0.808	32.386
0.858	34.573
0.908	31.839
0.958	31.839
1.008	31.292
1.058	43.321
1.108	45.508
1.158	48.241
1.208	50.428
1.258	52.615
1.308	54.802
1.358	56.989
1.408	59.176
1.458	61.363
1.508	63.550
1.558	66.284
1.608	68.471
1.658	70.658
1.708	72.845
1.758	75.032
1.808	77.219
1.858	79.406
1.908	82.140
1.958	84.327
2.008	86.514
2.058	88.701
2.108	90.887
2.158	93.074
2.208	95.261
2.258	97.448
2.308	99.635
2.358	101.822
2.408	104.556
2.458	106.196
2.508	108.930
2.558	110.570
2.608	113.304
2.658	115.491
2.708	117.678
2.758	119.865
2.808	122.052
2.858	124.239
2.908	125.332
2.958	123.145
3.008	130.800
3.058	127.519
3.108	135.720
3.158	137.907
3.208	140.094
3.258	142.281
3.308	144.468
3.358	146.655
3.409	149.389
3.458	151.576
3.508	153.763
3.558	155.950
3.608	158.137
3.658	160.324
3.708	162.511
3.758	164.698
3.808	166.885
3.858	169.072
3.908	171.259
3.958	173.992
4.008	176.179
4.058	178.366
4.108	175.086
4.158	182.740
4.208	184.927
4.258	187.114
4.308	189.301
4.358	190.942
4.408	193.675
4.458	196.409
4.508	193.129
4.558	200.783
4.608	202.970
4.658	205.157
4.708	207.344
4.759	209.531
4.808	211.718
4.858	213.905
4.908	216.638
4.958	218.825
5.008	219.372
5.058	218.825
5.108	225.386
5.158	227.573
5.208	229.760
5.258	231.947
5.308	234.134
5.358	236.321
5.408	238.508
5.458	240.695
5.508	242.882
5.558	245.069
5.608	247.256
5.658	248.896
5.708	251.083
5.758	252.724
5.808	253.270
5.858	253.817
5.909	254.364
5.958	254.364
6.008	254.364
6.058	254.364
6.108	254.364
6.158	254.911
6.208	254.911
6.258	254.911
6.308	254.911
6.358	254.911
6.408	254.911
6.458	254.911
6.508	254.911
6.558	254.911
6.608	254.911
6.658	254.911
6.708	254.911
6.758	254.911
6.808	254.911
6.858	254.911
6.908	254.911
6.958	254.911
7.008	254.911
7.058	254.911
7.108	254.911
7.158	254.911
7.208	254.911
7.258	254.911
7.308	254.911
7.358	254.911
7.408	254.911
7.458	254.911
7.508	254.911
7.558	254.911
7.609	254.911
