Motion Through Fluids Experiment Tue, Feb 28, 2023 3:22 PM
Time(sec)	Position(mm)
0.047	0.000
0.114	0.000
0.181	0.000
0.248	0.000
0.315	0.000
0.382	0.000
0.449	0.000
0.516	0.000
0.583	0.000
0.650	0.000
0.717	0.000
0.784	0.000
0.851	0.000
0.918	0.000
0.985	0.000
1.052	0.000
1.119	0.000
1.186	0.000
1.253	0.000
1.320	0.000
1.387	0.000
1.454	0.000
1.521	0.000
1.588	0.000
1.655	0.000
1.722	0.000
1.789	0.000
1.856	0.000
1.923	0.000
1.990	0.000
2.057	0.000
2.124	0.000
2.191	0.000
2.258	0.000
2.325	0.000
2.392	0.000
2.459	0.000
2.526	0.000
2.593	0.000
2.660	0.000
2.727	0.000
2.794	0.000
2.861	0.000
2.928	0.000
2.995	0.000
3.062	0.000
3.129	0.000
3.196	0.000
3.263	0.000
3.330	0.000
3.397	0.000
3.464	0.000
3.531	0.000
3.598	0.000
3.665	0.000
3.732	0.000
3.799	0.000
3.866	0.000
3.933	0.000
4.000	0.000
4.067	0.000
4.134	0.000
4.201	0.000
4.268	0.000
4.335	0.000
4.402	0.000
4.469	0.000
4.536	0.000
4.603	0.000
4.670	0.000
4.737	0.000
4.804	0.000
4.871	0.000
4.938	0.000
5.005	0.000
5.072	0.000
5.139	0.000
5.206	0.000
5.273	0.000
5.340	0.000
5.407	0.000
5.474	0.000
5.541	0.000
5.608	0.000
5.675	0.000
5.742	0.000
5.809	0.000
5.876	0.000
5.943	0.000
6.010	0.000
6.077	0.000
6.144	0.000
6.211	0.000
6.278	0.000
6.346	0.000
6.412	0.000
6.479	0.000
6.546	0.000
6.613	0.000
6.680	0.000
6.747	0.000
6.814	0.000
6.881	0.000
6.948	0.000
7.015	0.000
7.082	0.000
7.149	0.000
7.283	0.000
7.350	0.000
7.417	0.000
7.484	0.000
7.551	0.000
7.618	0.675
7.685	1.222
7.753	1.768
7.819	2.862
7.886	3.409
7.953	4.502
8.020	5.049
8.087	6.142
8.154	6.689
8.221	7.782
8.288	8.329
8.355	9.423
8.422	10.516
8.489	11.063
8.556	12.156
8.623	12.703
8.690	13.797
8.757	14.343
8.824	15.437
8.891	15.984
8.958	17.077
9.026	17.624
9.092	18.717
9.159	19.811
9.226	20.358
9.293	20.904
9.360	21.998
9.427	23.091
9.494	23.638
9.561	24.732
9.628	25.278
9.695	26.372
9.762	26.918
9.829	28.012
9.896	29.105
9.963	29.652
10.030	30.199
10.097	30.746
10.164	32.933
10.231	33.479
10.298	34.026
10.365	34.573
10.432	35.666
10.499	36.213
10.566	37.307
10.633	37.853
10.700	38.947
10.767	39.494
10.834	40.587
10.901	41.681
