Motion Through Fluids Experiment Thu, Mar 02, 2023 1:53 PM
Time(sec)	Position(mm)
0.025	0.000
0.075	0.000
0.125	0.000
0.175	0.000
0.225	0.000
0.275	0.000
0.325	0.675
0.375	4.502
0.425	8.329
0.475	12.703
0.525	17.077
0.575	21.451
0.626	26.372
0.675	30.746
0.725	35.120
0.775	39.494
0.825	44.414
0.875	48.788
0.925	53.709
0.975	58.083
1.025	63.004
1.075	67.924
1.125	72.298
1.175	76.672
1.225	81.593
1.275	85.420
1.325	90.341
1.375	95.808
1.425	100.729
1.475	105.103
1.525	109.477
1.575	114.397
1.625	118.771
1.675	123.692
1.725	128.613
1.776	133.533
1.825	137.907
1.875	142.828
1.925	147.749
1.975	152.123
2.025	157.043
2.075	161.964
2.125	166.885
2.175	171.806
2.225	176.726
2.275	181.647
2.325	186.568
2.376	191.488
2.425	196.409
2.475	201.330
2.525	205.704
2.575	210.624
2.625	215.545
2.675	220.466
2.725	225.386
2.775	230.307
2.825	235.228
2.875	240.148
2.925	245.069
2.975	249.990
3.025	254.911
3.075	0.000
3.125	0.000
3.175	0.000
3.225	0.000
3.275	0.000
3.325	0.000
