Motion Through Fluids Experiment Thu, Mar 02, 2023 1:47 PM
Time(sec)	Position(mm)
0.032	0.000
0.082	0.000
0.132	0.000
0.182	0.000
0.232	0.000
0.283	0.000
0.332	0.000
0.382	0.000
0.432	0.000
0.482	0.000
0.532	0.000
0.582	0.000
0.632	1.768
0.682	6.142
0.732	10.516
0.782	15.437
0.832	20.358
0.882	25.278
0.932	30.199
0.982	34.573
1.032	40.040
1.082	44.961
1.132	49.882
1.182	55.349
1.232	60.817
1.282	66.284
1.332	71.751
1.382	77.219
1.432	82.686
1.482	88.154
1.532	93.621
1.582	99.089
1.632	104.556
1.682	110.570
1.732	116.038
1.782	121.505
1.832	126.973
1.883	132.440
1.932	137.907
1.982	143.375
2.032	149.389
2.082	154.856
2.132	160.324
2.182	166.338
2.232	171.806
2.282	177.273
2.332	183.287
2.382	188.755
2.432	194.222
2.482	200.236
2.532	205.704
2.582	211.171
2.632	216.638
2.682	222.653
2.732	228.120
2.782	233.588
2.832	239.602
2.882	245.069
2.932	250.537
2.982	254.911
3.032	0.000
3.082	0.000
3.132	0.000
3.182	0.000
3.232	0.000
3.282	0.000
3.332	0.000
3.382	0.000
3.432	0.000
3.482	0.000
3.532	0.000
3.582	0.000
3.632	0.000
