Motion Through Fluids Experiment Thu, Mar 02, 2023 1:56 PM
Time(sec)	Position(mm)
0.015	0.000
0.115	0.000
0.165	0.000
0.215	0.000
0.265	0.000
0.315	0.000
0.365	0.000
0.415	0.675
0.465	3.409
0.515	6.689
0.565	9.969
0.615	13.797
0.665	17.077
0.715	20.904
0.765	24.185
0.815	27.465
0.865	31.292
0.915	35.120
0.965	38.947
1.015	42.227
1.065	46.055
1.115	49.882
1.165	53.162
1.215	56.989
1.265	60.817
1.315	64.644
1.365	68.471
1.415	71.751
1.465	75.579
1.515	79.406
1.565	83.233
1.615	87.060
1.665	90.887
1.715	94.168
1.765	97.995
1.815	101.822
1.865	105.650
1.915	109.477
1.965	113.304
2.015	117.131
2.065	120.412
2.115	124.239
2.165	128.066
2.215	131.893
2.265	135.720
2.315	139.548
2.365	143.375
2.415	146.109
2.465	149.936
2.515	153.763
2.565	157.590
2.615	161.417
2.665	165.245
2.715	169.072
2.765	172.352
2.815	176.179
2.865	180.007
2.915	183.834
2.965	187.661
3.015	190.942
3.065	194.769
3.115	198.596
3.165	202.423
3.215	206.250
3.265	209.531
3.315	213.358
3.365	217.185
3.415	221.012
3.465	224.293
3.515	228.120
3.566	231.947
3.615	235.775
3.665	239.602
3.715	243.429
3.765	246.709
3.815	250.537
3.865	254.364
3.915	0.000
3.965	0.000
4.015	0.000
4.065	0.000
4.115	0.000
4.165	0.000
