Motion Through Fluids Experiment Thu, Mar 02, 2023 1:48 PM
Time(sec)	Position(mm)
0.025	0.000
0.125	0.000
0.175	0.000
0.225	0.000
0.275	0.000
0.325	0.000
0.375	0.000
0.425	0.000
0.475	2.862
0.525	7.782
0.575	12.703
0.625	17.624
0.675	23.091
0.725	28.012
0.775	33.479
0.825	38.947
0.875	43.868
0.925	48.788
0.975	54.256
1.025	59.176
1.075	64.644
1.125	70.111
1.175	75.579
1.225	81.046
1.275	87.060
1.325	92.528
1.375	98.542
1.425	104.009
1.475	109.477
1.525	114.397
1.575	119.865
1.625	124.786
1.675	130.253
1.725	135.720
1.775	141.188
1.825	146.655
1.875	152.123
1.925	158.137
1.975	163.604
2.025	169.619
2.075	175.086
2.125	181.100
2.175	186.568
2.225	192.035
2.275	198.049
2.325	203.517
2.375	209.531
2.425	214.998
2.475	220.466
2.525	226.480
2.575	232.494
2.625	237.962
2.675	243.976
2.725	249.990
2.775	254.911
2.825	0.000
2.875	0.000
2.925	0.000
2.975	0.000
