Motion Through Fluids Experiment Thu, Mar 02, 2023 1:55 PM
Time(sec)	Position(mm)
0.044	0.000
0.094	0.000
0.144	0.000
0.194	0.000
0.244	0.000
0.294	0.000
0.347	0.000
0.394	0.000
0.444	0.000
0.494	0.000
0.544	0.000
0.594	0.675
0.644	3.955
0.694	7.236
0.744	10.516
0.794	13.797
0.844	17.624
0.894	20.904
0.944	24.732
0.994	28.012
1.044	31.839
1.094	35.666
1.144	38.947
1.194	42.774
1.244	46.055
1.294	49.882
1.344	53.162
1.394	56.989
1.444	60.817
1.494	64.097
1.544	67.378
1.594	71.205
1.644	75.032
1.694	78.312
1.744	82.140
1.794	85.967
1.844	89.247
1.894	93.074
1.944	96.355
1.994	100.182
2.044	104.009
2.094	107.290
2.144	111.117
2.194	114.944
2.244	118.225
2.294	122.052
2.344	125.332
2.394	129.160
2.444	132.987
2.494	136.267
2.544	140.094
2.594	143.922
2.644	147.749
2.694	151.029
2.744	154.310
2.794	158.137
2.844	161.417
2.894	164.698
2.944	168.525
2.994	172.352
3.044	176.179
3.094	179.460
3.144	183.287
3.194	187.114
3.244	190.395
3.294	194.222
3.344	198.049
3.394	201.330
3.444	205.157
3.494	208.984
3.544	212.265
3.594	216.092
3.644	219.919
3.694	223.199
3.744	227.027
3.794	230.854
3.844	234.134
3.894	237.962
3.944	241.789
3.994	245.069
4.044	248.896
4.094	252.724
4.144	0.000
4.195	0.000
4.244	0.000
4.294	0.000
4.344	0.000
4.394	0.000
4.444	0.000
4.494	0.000
