Motion Through Fluids Experiment Thu, Mar 02, 2023 1:53 PM
Time(sec)	Position(mm)
0.016	0.000
0.116	0.000
0.166	0.000
0.216	0.000
0.267	0.000
0.318	0.000
0.366	0.000
0.416	0.000
0.466	0.000
0.516	0.000
0.566	0.000
0.616	0.000
0.666	0.000
0.716	0.000
0.766	0.000
0.816	1.222
0.866	5.049
0.916	8.876
0.966	13.250
1.016	17.624
1.066	21.998
1.116	26.372
1.166	30.199
1.216	35.120
1.266	39.494
1.316	43.868
1.366	48.241
1.416	53.162
1.466	57.536
1.516	62.457
1.566	66.831
1.616	71.205
1.666	76.125
1.716	80.499
1.766	85.420
1.816	89.794
1.866	94.715
1.916	99.089
1.966	104.009
2.016	108.930
2.066	113.851
2.116	118.771
2.166	123.692
2.216	128.066
2.266	132.987
2.316	137.907
2.366	142.281
2.416	147.202
2.466	152.123
2.516	156.497
2.566	161.417
2.616	166.338
2.666	171.259
2.716	175.633
2.766	180.553
2.816	185.474
2.866	190.942
2.916	195.316
2.966	200.236
3.017	204.610
3.066	209.531
3.116	214.452
3.166	219.372
3.216	224.293
3.266	229.214
3.316	233.588
3.366	238.508
3.416	243.976
3.467	248.350
3.516	253.270
3.566	0.000
3.616	0.000
3.666	0.000
3.716	0.000
3.766	0.000
3.816	0.000
3.866	0.000
