Motion Through Fluids Experiment Thu, Mar 02, 2023 1:49 PM
Time(sec)	Position(mm)
0.046	0.000
0.096	0.000
0.146	0.000
0.196	0.000
0.247	0.000
0.296	0.000
0.346	0.000
0.396	0.000
0.447	0.000
0.496	0.000
0.546	0.000
0.596	0.000
0.646	0.000
0.696	0.000
0.746	0.000
0.796	0.000
0.846	1.768
0.896	6.142
0.946	11.063
0.996	15.984
1.046	20.358
1.096	25.278
1.146	30.199
1.196	35.120
1.246	40.040
1.296	45.508
1.346	50.428
1.396	55.896
1.446	60.817
1.496	66.284
1.546	71.751
1.596	77.219
1.647	82.686
1.696	88.154
1.746	93.074
1.796	99.089
1.846	104.556
1.896	110.024
1.946	115.491
1.996	120.958
2.046	126.426
2.096	131.893
2.146	137.361
2.196	142.828
2.246	148.296
2.296	153.763
2.346	159.230
2.396	164.698
2.446	170.712
2.496	176.179
2.546	181.647
2.596	187.661
2.646	193.129
2.696	198.596
2.746	204.063
2.796	208.984
2.846	214.452
2.896	219.919
2.946	225.386
2.996	230.307
3.046	236.321
3.096	241.789
3.146	246.709
3.196	252.177
3.246	0.000
3.296	0.000
3.346	0.000
3.396	0.000
3.446	0.000
3.496	0.000
3.546	0.000
3.596	0.000
