Motion Through Fluids Experiment Thu, Mar 02, 2023 1:40 PM
Time(sec)	Position(mm)
0.019	0.000
0.119	7.782
0.169	12.703
0.220	18.717
0.269	24.185
0.319	30.199
0.369	36.213
0.419	41.681
0.469	47.148
0.519	52.069
0.569	57.536
0.619	63.004
0.669	68.471
0.719	73.938
0.769	79.953
0.819	85.967
0.869	91.434
0.919	97.448
0.970	102.916
1.019	108.930
1.119	119.865
1.319	143.375
1.419	155.403
1.519	167.432
1.619	179.460
1.719	191.488
1.770	196.956
1.819	202.970
1.869	208.984
1.919	214.998
1.969	219.919
2.019	225.933
2.069	231.947
2.119	237.962
2.169	244.522
2.219	250.537
2.269	254.911
2.319	0.000
2.369	0.000
2.419	0.000
2.469	0.000
2.669	0.000
2.769	0.000
2.819	0.000
2.869	0.000
2.919	0.000
