Motion Through Fluids Experiment Thu, Mar 02, 2023 1:55 PM
Time(sec)	Position(mm)
0.025	0.000
0.125	0.000
0.175	0.000
0.225	0.000
0.275	0.000
0.325	0.000
0.375	0.000
0.425	0.000
0.475	0.000
0.525	0.000
0.575	0.000
0.625	0.000
0.675	0.000
0.725	0.675
0.775	2.862
0.825	6.142
0.875	9.423
0.925	13.250
0.975	16.530
1.025	19.811
1.075	23.638
1.125	26.918
1.175	30.746
1.225	34.026
1.276	37.853
1.325	41.134
1.375	44.961
1.425	48.241
1.475	52.069
1.525	55.896
1.575	59.723
1.625	63.004
1.675	66.831
1.725	70.658
1.775	74.485
1.825	78.312
1.875	82.140
1.925	85.420
1.975	89.247
2.025	93.074
2.075	96.902
2.125	100.729
2.175	104.009
2.225	107.837
2.275	111.664
2.325	115.491
2.375	119.318
2.425	122.599
2.475	126.426
2.525	130.253
2.575	134.080
2.625	137.907
2.675	141.188
2.725	145.015
2.775	148.842
2.825	152.670
2.875	156.497
2.925	159.777
2.975	163.604
3.025	167.432
3.075	171.259
3.125	175.086
3.175	178.913
3.225	182.740
3.275	186.021
3.325	189.848
3.375	193.675
3.425	197.502
3.475	201.330
3.525	204.610
3.575	208.437
3.625	212.265
3.675	216.092
3.725	219.919
3.775	223.746
3.825	227.573
3.875	231.401
3.925	234.681
3.975	238.508
4.025	242.335
4.075	245.616
4.125	249.443
4.175	253.270
4.225	0.000
4.275	0.000
4.325	0.000
4.375	0.000
4.425	0.000
4.475	0.000
4.525	0.000
4.576	0.000
