Motion Through Fluids Experiment Thu, Mar 02, 2023 1:49 PM
Time(sec)	Position(mm)
0.051	0.000
0.101	0.000
0.151	1.222
0.201	5.049
0.251	9.969
0.301	14.890
0.351	20.358
0.401	25.278
0.451	30.746
0.501	35.666
0.551	41.134
0.601	46.055
0.651	51.522
0.701	56.989
0.751	62.457
0.801	67.924
0.851	73.392
0.901	78.859
0.952	84.327
1.001	90.341
1.051	95.808
1.101	101.276
1.151	107.290
1.201	112.210
1.251	118.225
1.301	123.692
1.351	129.160
1.402	134.627
1.452	140.094
1.502	145.562
1.551	151.576
1.601	157.043
1.651	162.511
1.701	167.978
1.751	173.992
1.801	179.460
1.851	184.927
1.901	190.942
1.951	196.409
2.001	201.876
2.051	207.344
2.101	212.811
2.151	218.279
2.201	223.746
2.251	229.760
2.301	235.228
2.351	240.695
2.401	246.163
2.451	251.630
2.501	0.000
2.551	0.000
2.601	0.000
2.651	0.000
2.701	0.000
2.751	0.000
2.801	0.000
2.851	0.000
2.901	0.000
2.951	0.000
