Motion Through Fluids Experiment Thu, Mar 02, 2023 1:39 PM
Time(sec)	Position(mm)
0.050	32.933
0.100	38.947
0.150	44.414
0.300	63.004
0.350	69.564
0.400	76.125
0.450	82.686
0.500	89.247
0.550	96.355
0.600	102.916
0.650	110.024
0.700	116.584
0.750	123.692
0.800	130.253
0.850	137.361
0.900	144.468
0.950	151.029
1.000	158.137
1.050	165.245
1.100	172.352
1.150	180.007
1.200	187.114
1.300	201.876
1.350	209.531
1.450	223.746
1.701	0.000
1.800	0.000
1.850	0.000
1.900	0.000
1.950	0.000
2.000	0.000
2.050	0.000
2.100	0.000
2.150	0.000
2.200	0.000
2.250	0.000
2.300	0.000
2.350	0.000
2.400	0.000
2.450	0.000
