Motion Through Fluids Experiment Thu, Mar 02, 2023 1:47 PM
Time(sec)	Position(mm)
0.037	35.120
0.137	43.868
0.187	48.788
0.237	53.709
0.287	58.630
0.337	64.097
0.387	69.564
0.437	75.032
0.487	80.499
0.537	85.967
0.587	91.434
0.637	97.448
0.687	102.369
0.737	107.837
0.787	113.304
0.837	118.771
0.887	124.239
0.937	129.706
0.987	135.174
1.037	140.641
1.087	146.109
1.137	151.576
1.187	157.043
1.237	162.511
1.287	167.978
1.337	173.992
1.387	179.460
1.438	184.927
1.487	190.395
1.537	195.862
1.587	201.330
1.637	207.344
1.687	212.811
1.737	218.279
1.787	223.746
1.837	229.214
1.887	235.228
1.937	240.695
1.987	246.163
2.037	251.630
2.087	0.000
2.137	0.000
2.187	0.000
2.238	0.000
2.287	0.000
2.337	0.000
