Motion Through Fluids Experiment Thu, Mar 02, 2023 1:46 PM
Time(sec)	Position(mm)
0.016	0.000
0.116	0.000
0.166	0.000
0.216	0.000
0.267	0.000
0.316	0.000
0.366	0.000
0.416	0.000
0.466	0.000
0.516	0.000
0.566	0.000
0.616	0.000
0.666	1.222
0.717	3.955
0.766	8.876
0.816	13.797
0.866	18.717
0.916	23.638
0.966	28.559
1.016	33.479
1.066	38.400
1.116	43.868
1.166	49.335
1.216	54.802
1.266	60.817
1.316	66.284
1.366	72.298
1.417	78.312
1.466	84.327
1.516	90.341
1.566	96.355
1.616	102.369
1.666	108.383
1.716	114.397
1.766	120.412
1.816	126.426
1.866	132.440
1.916	138.454
1.966	144.468
2.016	150.483
2.066	156.497
2.116	162.511
2.166	169.072
2.216	175.086
2.266	181.100
2.316	187.114
2.366	193.129
2.416	199.143
2.466	205.157
2.516	211.718
2.566	217.732
2.616	223.746
2.666	229.760
2.716	235.775
2.766	242.335
2.816	248.350
2.866	253.270
2.916	0.000
2.966	0.000
3.016	0.000
3.066	0.000
3.116	0.000
3.166	0.000
3.216	0.000
3.266	0.000
3.316	0.000
3.366	0.000
3.416	0.000
