Motion Through Fluids Experiment Thu, Mar 02, 2023 1:56 PM
Time(sec)	Position(mm)
0.022	0.000
0.122	0.000
0.172	0.000
0.222	0.000
0.272	0.000
0.322	0.000
0.372	0.000
0.422	0.000
0.472	0.000
0.522	0.000
0.572	0.000
0.622	0.000
0.672	0.000
0.722	0.000
0.772	0.000
0.822	2.862
0.872	6.142
0.922	9.423
0.972	12.703
1.022	16.530
1.072	20.358
1.122	24.185
1.172	28.012
1.222	31.292
1.272	35.120
1.322	38.947
1.372	42.774
1.422	47.148
1.472	50.428
1.522	54.256
1.572	58.083
1.622	61.910
1.672	65.191
1.722	69.018
1.772	72.845
1.822	76.672
1.872	79.953
1.922	83.780
1.972	87.607
2.022	91.434
2.072	95.261
2.123	98.542
2.172	102.369
2.222	106.196
2.273	110.024
2.322	113.851
2.372	117.678
2.422	121.505
2.472	125.332
2.522	129.160
2.572	132.440
2.622	136.267
2.672	140.094
2.722	143.922
2.773	147.749
2.822	151.576
2.872	155.403
2.922	159.230
2.972	163.058
3.022	166.338
3.072	170.165
3.122	173.992
3.172	177.820
3.222	181.100
3.272	184.927
3.322	189.301
3.372	192.582
3.422	196.409
3.472	200.236
3.522	204.063
3.572	207.891
3.623	211.171
3.672	214.998
3.722	218.825
3.772	222.653
3.822	226.480
3.872	230.307
3.922	234.134
3.972	237.962
4.022	241.789
4.072	245.616
4.123	249.443
4.172	252.724
4.222	0.000
4.272	0.000
4.322	0.000
4.372	0.000
4.422	0.000
4.472	0.000
4.522	0.000
4.572	0.000
4.622	0.000
4.672	0.000
