Motion Through Fluids Experiment Thu, Mar 02, 2023 1:51 PM
Time(sec)	Position(mm)
0.030	0.000
0.130	0.000
0.180	0.000
0.230	0.000
0.280	0.000
0.330	0.000
0.380	0.000
0.430	1.768
0.480	4.502
0.530	8.329
0.581	12.156
0.631	16.530
0.680	20.358
0.730	24.732
0.780	28.559
0.830	32.933
0.880	37.307
0.930	42.227
0.980	46.601
1.030	50.975
1.080	55.896
1.130	60.270
1.180	65.191
1.230	69.564
1.280	74.485
1.330	78.859
1.380	83.780
1.430	88.154
1.480	93.074
1.530	97.448
1.580	102.369
1.630	106.743
1.680	111.664
1.730	116.038
1.780	120.958
1.830	125.879
1.981	139.548
2.080	148.842
2.130	153.763
2.180	158.137
2.230	163.058
2.280	167.978
2.331	172.352
2.380	177.273
2.430	182.194
2.480	187.114
2.530	192.035
2.580	196.956
2.630	201.876
2.680	206.250
2.730	211.171
2.780	215.545
2.830	221.012
2.880	225.386
2.930	229.760
2.980	234.681
3.030	239.602
3.080	244.522
3.130	248.896
3.180	253.817
3.230	0.000
3.280	0.000
3.330	0.000
3.380	0.000
3.430	0.000
