Motion Through Fluids Experiment Thu, Mar 02, 2023 1:50 PM
Time(sec)	Position(mm)
0.003	0.000
0.103	0.000
0.153	0.000
0.203	0.000
0.253	0.000
0.303	0.000
0.353	0.000
0.403	1.222
0.453	3.409
0.503	6.689
0.553	10.516
0.603	14.343
0.653	18.717
0.703	23.638
0.753	27.465
0.803	32.386
0.853	36.760
0.903	41.134
0.953	45.508
1.003	50.428
1.053	54.802
1.103	59.723
1.153	64.097
1.203	69.018
1.253	73.392
1.303	78.312
1.353	83.233
1.403	88.154
1.453	92.528
1.503	97.448
1.553	102.369
1.603	107.290
1.653	112.210
1.703	117.131
1.753	121.505
1.803	126.426
1.854	131.347
1.903	135.720
1.953	140.641
2.003	145.015
2.053	149.936
2.103	154.856
2.153	159.230
2.203	164.151
2.254	168.525
2.303	173.446
2.353	178.366
2.403	182.740
2.453	187.661
2.503	192.582
2.553	197.502
2.603	201.876
2.653	207.344
2.703	211.718
2.753	216.638
2.803	221.012
2.853	225.933
2.903	230.307
2.953	235.228
3.003	239.602
3.053	244.522
3.103	248.896
3.153	253.817
3.203	0.000
3.253	0.000
3.304	0.000
3.353	0.000
3.403	0.000
