Motion Through Fluids Experiment Thu, Mar 02, 2023 1:52 PM
Time(sec)	Position(mm)
0.020	0.000
0.120	0.000
0.170	0.000
0.220	0.000
0.270	0.000
0.320	0.000
0.370	0.000
0.420	1.768
0.470	6.142
0.520	9.969
0.570	14.343
0.620	18.717
0.670	23.091
0.720	27.465
0.770	32.386
0.820	36.760
0.870	41.134
0.920	45.508
0.970	50.428
1.020	54.802
1.070	59.723
1.120	64.644
1.170	69.018
1.220	73.938
1.270	78.859
1.320	83.233
1.370	88.154
1.420	92.528
1.470	97.448
1.520	101.822
1.570	106.743
1.620	111.664
1.670	116.584
1.720	121.505
1.771	125.879
1.820	130.800
1.870	135.720
1.920	140.641
1.970	145.015
2.020	149.936
2.070	154.856
2.120	159.777
2.170	164.151
2.220	169.072
2.270	173.446
2.320	178.366
2.370	183.287
2.420	188.208
2.470	193.129
2.520	198.049
2.570	202.423
2.620	207.344
2.670	212.265
2.720	217.185
2.770	221.559
2.820	225.933
2.870	230.307
2.920	235.228
2.970	239.602
3.020	244.522
3.070	248.896
3.120	253.817
3.170	0.000
3.220	0.000
3.270	0.000
3.320	0.000
3.370	0.000
3.420	0.000
3.470	0.000
